# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   HP: http://purl.obolibrary.org/obo/HP_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   wikidata: https://www.wikidata.org/wiki/
#   obo: http://purl.obolibrary.org/obo/
#   semapv: https://w3id.org/semapv/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://www.pistoiaalliance.org/projects/current-projects/ontologies-mapping/
# mapping_set_description: 'The Pistoia Ontology Mappings: hp_doid'
# mapping_set_id: hp_doid_pistoia
# object_source: obo:doid
# subject_source: obo:hp
subject_id	predicate_id	object_id	mapping_justification	confidence
HP:0000011	owl:equivalentClass	DOID:12143	semapv:UnspecifiedMatching	1.0
HP:0000015	owl:equivalentClass	DOID:11353	semapv:UnspecifiedMatching	0.875
HP:0000023	owl:equivalentClass	DOID:0060320	semapv:UnspecifiedMatching	1.0
HP:0000024	owl:equivalentClass	DOID:14654	semapv:UnspecifiedMatching	0.875
HP:0000027	owl:equivalentClass	DOID:14227	semapv:UnspecifiedMatching	0.875
HP:0000028	owl:equivalentClass	DOID:11383	semapv:UnspecifiedMatching	0.875
HP:0000030	owl:equivalentClass	DOID:3579	semapv:UnspecifiedMatching	0.875
HP:0000031	owl:equivalentClass	DOID:9402	semapv:UnspecifiedMatching	0.875
HP:0000044	owl:equivalentClass	DOID:0090070	semapv:UnspecifiedMatching	0.2457625
HP:0000047	owl:equivalentClass	DOID:10892	semapv:UnspecifiedMatching	0.875
HP:0000070	owl:equivalentClass	DOID:4022	semapv:UnspecifiedMatching	0.875
HP:0000074	owl:equivalentClass	DOID:0111145	semapv:UnspecifiedMatching	0.75
HP:0000076	owl:equivalentClass	DOID:9620	semapv:UnspecifiedMatching	0.875
HP:0000089	owl:equivalentClass	DOID:0080204	semapv:UnspecifiedMatching	0.75
HP:0000090	owl:equivalentClass	DOID:12712	semapv:UnspecifiedMatching	0.875
HP:0000093	owl:equivalentClass	DOID:576	semapv:UnspecifiedMatching	0.875
HP:0000096	owl:equivalentClass	DOID:0050851	semapv:UnspecifiedMatching	0.75
HP:0000097	owl:equivalentClass	DOID:1312	semapv:UnspecifiedMatching	0.875
HP:0000099	owl:equivalentClass	DOID:2921	semapv:UnspecifiedMatching	0.875
HP:0000100	owl:equivalentClass	DOID:1184	semapv:UnspecifiedMatching	0.875
HP:0000104	owl:equivalentClass	DOID:14766	semapv:UnspecifiedMatching	0.75
HP:0000107	owl:equivalentClass	DOID:2975	semapv:UnspecifiedMatching	0.875
HP:0000112	owl:equivalentClass	DOID:557	semapv:UnspecifiedMatching	0.875
HP:0000121	owl:equivalentClass	DOID:12679	semapv:UnspecifiedMatching	0.875
HP:0000123	owl:equivalentClass	DOID:10952	semapv:UnspecifiedMatching	0.875
HP:0000126	owl:equivalentClass	DOID:11111	semapv:UnspecifiedMatching	0.875
HP:0000131	owl:equivalentClass	DOID:13223	semapv:UnspecifiedMatching	1.0
HP:0000133	owl:equivalentClass	DOID:14447	semapv:UnspecifiedMatching	0.875
HP:0000135	owl:equivalentClass	DOID:1924	semapv:UnspecifiedMatching	0.875
HP:0000138	owl:equivalentClass	DOID:5119	semapv:UnspecifiedMatching	0.75
HP:0000141	owl:equivalentClass	DOID:13938	semapv:UnspecifiedMatching	0.875
HP:0000147	owl:equivalentClass	DOID:11612	semapv:UnspecifiedMatching	0.875
HP:0000149	owl:equivalentClass	DOID:3578	semapv:UnspecifiedMatching	0.875
HP:0000150	owl:equivalentClass	DOID:3301	semapv:UnspecifiedMatching	0.875
HP:0000155	owl:equivalentClass	DOID:9663	semapv:UnspecifiedMatching	0.75
HP:0000169	owl:equivalentClass	DOID:0060466	semapv:UnspecifiedMatching	0.875
HP:0000175	owl:equivalentClass	DOID:674	semapv:UnspecifiedMatching	1.0
HP:0000185	owl:equivalentClass	DOID:0110214	semapv:UnspecifiedMatching	0.75
HP:0000201	owl:equivalentClass	DOID:4258	semapv:UnspecifiedMatching	0.2347564999999999
HP:0000204	owl:equivalentClass	DOID:9296	semapv:UnspecifiedMatching	0.2375
HP:0000206	owl:equivalentClass	DOID:1456	semapv:UnspecifiedMatching	0.875
HP:0000212	owl:equivalentClass	DOID:3086	semapv:UnspecifiedMatching	0.875
HP:0000221	owl:equivalentClass	DOID:11514	semapv:UnspecifiedMatching	0.875
HP:0000230	owl:equivalentClass	DOID:3087	semapv:UnspecifiedMatching	0.875
HP:0000238	owl:equivalentClass	DOID:10908	semapv:UnspecifiedMatching	0.875
HP:0000246	owl:equivalentClass	DOID:0050127	semapv:UnspecifiedMatching	0.8
HP:0000252	owl:equivalentClass	DOID:10907	semapv:UnspecifiedMatching	0.875
HP:0000255	owl:equivalentClass	DOID:0050127	semapv:UnspecifiedMatching	0.2375
HP:0000265	owl:equivalentClass	DOID:0060322	semapv:UnspecifiedMatching	1.0
HP:0000362	owl:equivalentClass	DOID:12185	semapv:UnspecifiedMatching	0.8
HP:0000388	owl:equivalentClass	DOID:10754	semapv:UnspecifiedMatching	0.875
HP:0000407	owl:equivalentClass	DOID:10003	semapv:UnspecifiedMatching	0.363793
HP:0000453	owl:equivalentClass	DOID:9574	semapv:UnspecifiedMatching	0.875
HP:0000476	owl:equivalentClass	DOID:3081	semapv:UnspecifiedMatching	0.875
HP:0000483	owl:equivalentClass	DOID:11782	semapv:UnspecifiedMatching	1.0
HP:0000485	owl:equivalentClass	DOID:0060305	semapv:UnspecifiedMatching	0.875
HP:0000486	owl:equivalentClass	DOID:540	semapv:UnspecifiedMatching	0.75
HP:0000491	owl:equivalentClass	DOID:4677	semapv:UnspecifiedMatching	0.875
HP:0000495	owl:equivalentClass	DOID:11541	semapv:UnspecifiedMatching	0.3700974999999999
HP:0000498	owl:equivalentClass	DOID:9423	semapv:UnspecifiedMatching	0.875
HP:0000501	owl:equivalentClass	DOID:1686	semapv:UnspecifiedMatching	0.875
