#mapping_set_id: MGI_Scoliosis_MP_HPO
#mapping_set_title: Phenotypes for Scoliosis models
#mapping_set_description: Phenotypes are the set of Mammalian Phenotype ontology (MP) terms that are annotated to mouse genotypes annotated as models of the human disease Scoliosis (DOID:0060249) or its child term idiopathic scoliosis (DOID:0060250). Genotypes and annotated MP terms were extracted from MouseMine (7/28/22) using the templates and list functions. Use of mappings terms: exact match: MP term is the same as the HPO term, ignoring that the HP term applies only to humans; broad match: HPO term covers more than the MP term, ignoring species restriction; narrow match: HPO term is more restricted than the MP term; related match: MP term and HPO term share some similarity but would not have a parent-child relation in a shared ontology
#creator_id: orcid:0000-0003-4606-0597|ror:021sy4w91|wikidata:Q1951035
#license: https://creativecommons.org/licenses/by/4.0/
#object_source: obo:mp
#subject_source: obo:hp
#curie_map:
# HP: http://purl.obolibrary.org/obo/HP_
# MP: http://purl.obolibrary.org/obo/MP_
# skos: http://www.w3.org/2004/02/skos/core#
# orcid: https://orcid.org/
# ror: https://ror.org/
# wikidata: https://www.wikidata.org/wiki/
# obo: http://purl.obolibrary.org/obo/
# semapv: https://w3id.org/semapv/
object_label	object_id	subject_label	subject_id	predicate_id	mapping_justification	confidence	author_id	mapping_date	comment
Abnormal appendicular skeleton morphology	HP:0011844	abnormal appendicular skeleton morphology	MP:0009250	skos:exactMatch	semapv:ManualMappingCuration	1	orcid:0000-0003-4606-0597	7/28/2022	
Abnormal axial skeleton morphology	HP:0009121	abnormal axial skeleton morphology	MP:0002114	skos:exactMatch	semapv:ManualMappingCuration	1	orcid:0000-0003-4606-0597	7/28/2022	note MP def. does not mention ribs and sternum but these are included in the child terms
Abnormality of bone marrow cell morphology	HP:0005561	abnormal bone marrow cell morphology/development	MP:0002398	skos:narrowMatch	semapv:ManualMappingCuration	0.9	orcid:0000-0003-4606-0597	7/28/2022	MP term includes developmental cell types that may not be included in the HP term
Abnormality of bone mineral density	HP:0004348	abnormal bone mineralization	MP:0002896	skos:relatedMatch	semapv:ManualMappingCuration	0.8	orcid:0000-0003-4606-0597	7/28/2022	"MP term is about the process, HP term is about the morphological outcome, note the MP has a separate term for abnormal bone mineral density"
Abnormal bone ossification	HP:0011849	abnormal bone ossification	MP:0008271	skos:closeMatch	semapv:ManualMappingCuration	0.9	orcid:0000-0003-4606-0597	7/28/2022	"while the terms have the same label and text definition, the child terms are distinct as MP term is on the physiology branch and is about the process, both use GO term in eq, HPO term is on the morphology branch and has child terms about morphological outcomes"
Abnormal carpal morphology	HP:0001191	abnormal carpal bone morphology	MP:0000554	skos:exactMatch	semapv:ManualMappingCuration	0.8	orcid:0000-0003-4606-0597	7/28/2022	
Abnormal chondrocyte morphology	HP:0032929	abnormal chondrocyte morphology	MP:0000166	skos:exactMatch	semapv:ManualMappingCuration	1	orcid:0000-0003-4606-0597	7/28/2022	
Abnormal clavicle morphology	HP:0000889	abnormal clavicle morphology	MP:0005298	skos:exactMatch	semapv:ManualMappingCuration	1	orcid:0000-0003-4606-0597	7/28/2022	
Abnormal skull morphology	HP:0000929	abnormal cranium morphology	MP:0000438	skos:exactMatch	semapv:ManualMappingCuration	1	orcid:0000-0003-4606-0597	7/28/2022	note there is a synonym match between the MP term and the HPO term Abnormality of the calvaria but these are not exact matches
Abnormal enchondral ossification	HP:0003336	abnormal endochondral bone ossification	MP:0008272	skos:closeMatch	semapv:ManualMappingCuration	0.9	orcid:0000-0003-4606-0597	7/28/2022	"HPO definition states ""process"" but placement is under morphology"
