# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MP: http://purl.obolibrary.org/obo/MP_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://www.pistoiaalliance.org/projects/current-projects/ontologies-mapping/
# mapping_set_description: 'The Pistoia Ontology Mappings: mp_doid'
# mapping_set_id: mp_doid_pistoia
# object_source: http://purl.obolibrary.org/doid.owl
# subject_source: http://purl.obolibrary.org/mp.owl
subject_id	predicate_id	object_id	mapping_justification	confidence
MP:0000066	owl:equivalentClass	DOID:11476	semapv:UnspecifiedMatching	0.75
MP:0000067	owl:equivalentClass	DOID:13533	semapv:UnspecifiedMatching	0.75
MP:0000081	owl:equivalentClass	DOID:2340	semapv:UnspecifiedMatching	0.235295
MP:0000111	owl:equivalentClass	DOID:674	semapv:UnspecifiedMatching	0.75
MP:0000161	owl:equivalentClass	DOID:0060249	semapv:UnspecifiedMatching	0.75
MP:0000189	owl:equivalentClass	DOID:9993	semapv:UnspecifiedMatching	0.75
MP:0000231	owl:equivalentClass	DOID:10763	semapv:UnspecifiedMatching	0.75
MP:0000284	owl:equivalentClass	DOID:6406	semapv:UnspecifiedMatching	0.75
MP:0000315	owl:equivalentClass	DOID:582	semapv:UnspecifiedMatching	0.75
MP:0000376	owl:equivalentClass	DOID:4409	semapv:UnspecifiedMatching	0.75
MP:0000414	owl:equivalentClass	DOID:987	semapv:UnspecifiedMatching	0.75
MP:0000433	owl:equivalentClass	DOID:10907	semapv:UnspecifiedMatching	0.75
MP:0000493	owl:equivalentClass	DOID:9307	semapv:UnspecifiedMatching	0.75
MP:0000519	owl:equivalentClass	DOID:11111	semapv:UnspecifiedMatching	0.75
MP:0000525	owl:equivalentClass	DOID:14219	semapv:UnspecifiedMatching	0.75
MP:0000562	owl:equivalentClass	DOID:1148	semapv:UnspecifiedMatching	0.75
MP:0000564	owl:equivalentClass	DOID:11193	semapv:UnspecifiedMatching	0.75
MP:0000566	owl:equivalentClass	DOID:11971	semapv:UnspecifiedMatching	0.75
MP:0000576	owl:equivalentClass	DOID:11836	semapv:UnspecifiedMatching	0.75
MP:0000604	owl:equivalentClass	DOID:9120	semapv:UnspecifiedMatching	0.75
MP:0000610	owl:equivalentClass	DOID:13580	semapv:UnspecifiedMatching	0.75
MP:0000644	owl:equivalentClass	DOID:9565	semapv:UnspecifiedMatching	0.75
MP:0000751	owl:equivalentClass	DOID:423	semapv:UnspecifiedMatching	0.75
MP:0000917	owl:equivalentClass	DOID:14159	semapv:UnspecifiedMatching	0.234695
MP:0001193	owl:equivalentClass	DOID:8893	semapv:UnspecifiedMatching	0.75
MP:0001194	owl:equivalentClass	DOID:2723	semapv:UnspecifiedMatching	0.75
MP:0001297	owl:equivalentClass	DOID:10629	semapv:UnspecifiedMatching	0.75
MP:0001304	owl:equivalentClass	DOID:83	semapv:UnspecifiedMatching	0.75
MP:0001326	owl:equivalentClass	DOID:8466	semapv:UnspecifiedMatching	0.75
MP:0001344	owl:equivalentClass	DOID:0060260	semapv:UnspecifiedMatching	0.75
MP:0001349	owl:equivalentClass	DOID:13757	semapv:UnspecifiedMatching	0.75
MP:0001548	owl:equivalentClass	DOID:1168	semapv:UnspecifiedMatching	0.23077
MP:0001559	owl:equivalentClass	DOID:4195	semapv:UnspecifiedMatching	0.75
MP:0001577	owl:equivalentClass	DOID:2355	semapv:UnspecifiedMatching	0.75
MP:0001585	owl:equivalentClass	DOID:583	semapv:UnspecifiedMatching	0.75
MP:0001852	owl:equivalentClass	DOID:6195	semapv:UnspecifiedMatching	0.75
MP:0001856	owl:equivalentClass	DOID:820	semapv:UnspecifiedMatching	0.75
MP:0001857	owl:equivalentClass	DOID:1787	semapv:UnspecifiedMatching	0.75
MP:0001864	owl:equivalentClass	DOID:865	semapv:UnspecifiedMatching	0.75
MP:0001867	owl:equivalentClass	DOID:4483	semapv:UnspecifiedMatching	0.75
MP:0001875	owl:equivalentClass	DOID:2518	semapv:UnspecifiedMatching	0.2317075
MP:0001890	owl:equivalentClass	DOID:0060668	semapv:UnspecifiedMatching	0.75
MP:0001924	owl:equivalentClass	DOID:5223	semapv:UnspecifiedMatching	0.75
MP:0001925	owl:equivalentClass	DOID:12336	semapv:UnspecifiedMatching	0.75
MP:0001926	owl:equivalentClass	DOID:12336	semapv:UnspecifiedMatching	0.235295
MP:0001948	owl:equivalentClass	DOID:9620	semapv:UnspecifiedMatching	0.75
MP:0001953	owl:equivalentClass	DOID:11162	semapv:UnspecifiedMatching	0.75
MP:0002001	owl:equivalentClass	DOID:1432	semapv:UnspecifiedMatching	0.75
MP:0002006	owl:equivalentClass	DOID:14566	semapv:UnspecifiedMatching	0.75
MP:0002269	owl:equivalentClass	DOID:767	semapv:UnspecifiedMatching	0.75
MP:0002286	owl:equivalentClass	DOID:11383	semapv:UnspecifiedMatching	0.75
MP:0002544	owl:equivalentClass	DOID:0050581	semapv:UnspecifiedMatching	0.75
MP:0002654	owl:equivalentClass	DOID:649	semapv:UnspecifiedMatching	0.75
MP:0002657	owl:equivalentClass	DOID:2256	semapv:UnspecifiedMatching	0.75
MP:0002686	owl:equivalentClass	DOID:0111156	semapv:UnspecifiedMatching	0.75
MP:0002708	owl:equivalentClass	DOID:585	semapv:UnspecifiedMatching	0.75
MP:0002731	owl:equivalentClass	DOID:11372	semapv:UnspecifiedMatching	0.75
MP:0002743	owl:equivalentClass	DOID:2921	semapv:UnspecifiedMatching	0.75
MP:0002750	owl:equivalentClass	DOID:9370	semapv:UnspecifiedMatching	0.75
MP:0002766	owl:equivalentClass	DOID:758	semapv:UnspecifiedMatching	0.75
MP:0002767	owl:equivalentClass	DOID:0050545	semapv:UnspecifiedMatching	0.75
MP:0002787	owl:equivalentClass	DOID:3765	semapv:UnspecifiedMatching	0.75
MP:0002791	owl:equivalentClass	DOID:10602	semapv:UnspecifiedMatching	0.75
MP:0002795	owl:equivalentClass	DOID:12930	semapv:UnspecifiedMatching	0.75
MP:0002810	owl:equivalentClass	DOID:11252	semapv:UnspecifiedMatching	0.75
MP:0002811	owl:equivalentClass	DOID:2361	semapv:UnspecifiedMatching	0.75
MP:0002816	owl:equivalentClass	DOID:0060180	semapv:UnspecifiedMatching	0.75
MP:0002872	owl:equivalentClass	DOID:8432	semapv:UnspecifiedMatching	0.75
MP:0002926	owl:equivalentClass	DOID:10487	semapv:UnspecifiedMatching	0.75
MP:0002927	owl:equivalentClass	DOID:1770	semapv:UnspecifiedMatching	0.75
MP:0002984	owl:equivalentClass	DOID:0080204	semapv:UnspecifiedMatching	0.2272725
MP:0002993	owl:equivalentClass	DOID:848	semapv:UnspecifiedMatching	0.75
MP:0003007	owl:equivalentClass	DOID:6307	semapv:UnspecifiedMatching	0.75
MP:0003046	owl:equivalentClass	DOID:5082	semapv:UnspecifiedMatching	0.75
MP:0003052	owl:equivalentClass	DOID:0060327	semapv:UnspecifiedMatching	0.75
MP:0003054	owl:equivalentClass	DOID:0080016	semapv:UnspecifiedMatching	0.75
MP:0003099	owl:equivalentClass	DOID:5327	semapv:UnspecifiedMatching	0.75
MP:0003100	owl:equivalentClass	DOID:11830	semapv:UnspecifiedMatching	0.75
MP:0003116	owl:equivalentClass	DOID:10609	semapv:UnspecifiedMatching	0.75
MP:0003130	owl:equivalentClass	DOID:10488	semapv:UnspecifiedMatching	0.75
MP:0003139	owl:equivalentClass	DOID:13832	semapv:UnspecifiedMatching	0.75
MP:0003179	owl:equivalentClass	DOID:1588	semapv:UnspecifiedMatching	0.75
MP:0003195	owl:equivalentClass	DOID:182	semapv:UnspecifiedMatching	0.75
MP:0003197	owl:equivalentClass	DOID:12679	semapv:UnspecifiedMatching	0.75
MP:0003254	owl:equivalentClass	DOID:9446	semapv:UnspecifiedMatching	0.25
MP:0003258	owl:equivalentClass	DOID:12642	semapv:UnspecifiedMatching	0.75
MP:0003267	owl:equivalentClass	DOID:2089	semapv:UnspecifiedMatching	0.75
MP:0003270	owl:equivalentClass	DOID:8437	semapv:UnspecifiedMatching	0.75
MP:0003273	owl:equivalentClass	DOID:1724	semapv:UnspecifiedMatching	0.75
MP:0003276	owl:equivalentClass	DOID:10485	semapv:UnspecifiedMatching	0.75
MP:0003282	owl:equivalentClass	DOID:10808	semapv:UnspecifiedMatching	0.75
MP:0003286	owl:equivalentClass	DOID:8534	semapv:UnspecifiedMatching	0.75
MP:0003294	owl:equivalentClass	DOID:8446	semapv:UnspecifiedMatching	0.75
MP:0003305	owl:equivalentClass	DOID:3127	semapv:UnspecifiedMatching	0.75
MP:0003307	owl:equivalentClass	DOID:12639	semapv:UnspecifiedMatching	0.75
MP:0003319	owl:equivalentClass	DOID:0060328	semapv:UnspecifiedMatching	0.75
MP:0003328	owl:equivalentClass	DOID:10762	semapv:UnspecifiedMatching	0.75
MP:0003335	owl:equivalentClass	DOID:13316	semapv:UnspecifiedMatching	0.75
MP:0003347	owl:equivalentClass	DOID:2444	semapv:UnspecifiedMatching	0.75
MP:0003348	owl:equivalentClass	DOID:9406	semapv:UnspecifiedMatching	0.75
MP:0003376	owl:equivalentClass	DOID:13938	semapv:UnspecifiedMatching	0.75
MP:0003390	owl:equivalentClass	DOID:4977	semapv:UnspecifiedMatching	0.75
MP:0003415	owl:equivalentClass	DOID:9286	semapv:UnspecifiedMatching	0.75
MP:0003446	owl:equivalentClass	DOID:0080204	semapv:UnspecifiedMatching	0.75
MP:0003506	owl:equivalentClass	DOID:2449	semapv:UnspecifiedMatching	0.75
MP:0003548	owl:equivalentClass	DOID:6432	semapv:UnspecifiedMatching	0.75
MP:0003554	owl:equivalentClass	DOID:2712	semapv:UnspecifiedMatching	0.75
MP:0003560	owl:equivalentClass	DOID:8398	semapv:UnspecifiedMatching	0.75
MP:0003561	owl:equivalentClass	DOID:7148	semapv:UnspecifiedMatching	0.75
MP:0003565	owl:equivalentClass	DOID:14427	semapv:UnspecifiedMatching	0.2368425
MP:0003587	owl:equivalentClass	DOID:5199	semapv:UnspecifiedMatching	0.2368425
MP:0003592	owl:equivalentClass	DOID:1829	semapv:UnspecifiedMatching	0.2428575
MP:0003606	owl:equivalentClass	DOID:1074	semapv:UnspecifiedMatching	0.75
MP:0003623	owl:equivalentClass	DOID:9912	semapv:UnspecifiedMatching	0.75
MP:0003624	owl:equivalentClass	DOID:2983	semapv:UnspecifiedMatching	0.75
MP:0003665	owl:equivalentClass	DOID:4692	semapv:UnspecifiedMatching	0.75
MP:0003689	owl:equivalentClass	DOID:539	semapv:UnspecifiedMatching	0.75
MP:0003746	owl:equivalentClass	DOID:9637	semapv:UnspecifiedMatching	0.75
MP:0003828	owl:equivalentClass	DOID:11396	semapv:UnspecifiedMatching	0.75
MP:0003865	owl:equivalentClass	DOID:1602	semapv:UnspecifiedMatching	0.234695
MP:0003924	owl:equivalentClass	DOID:3827	semapv:UnspecifiedMatching	0.75
MP:0003985	owl:equivalentClass	DOID:0050855	semapv:UnspecifiedMatching	0.75
MP:0003991	owl:equivalentClass	DOID:2349	semapv:UnspecifiedMatching	0.75
MP:0004020	owl:equivalentClass	DOID:8488	semapv:UnspecifiedMatching	0.75
MP:0004119	owl:equivalentClass	DOID:4500	semapv:UnspecifiedMatching	0.75
MP:0004133	owl:equivalentClass	DOID:0050545	semapv:UnspecifiedMatching	0.75
MP:0004254	owl:equivalentClass	DOID:9246	semapv:UnspecifiedMatching	0.75
MP:0004270	owl:equivalentClass	DOID:0060145	semapv:UnspecifiedMatching	0.75
MP:0004510	owl:equivalentClass	DOID:633	semapv:UnspecifiedMatching	0.75
MP:0004547	owl:equivalentClass	DOID:6050	semapv:UnspecifiedMatching	0.75
MP:0004684	owl:equivalentClass	DOID:90	semapv:UnspecifiedMatching	0.2421875
MP:0004740	owl:equivalentClass	DOID:10003	semapv:UnspecifiedMatching	0.75
MP:0004749	owl:equivalentClass	DOID:0050563	semapv:UnspecifiedMatching	0.75
MP:0004750	owl:equivalentClass	DOID:0050563	semapv:UnspecifiedMatching	0.2340425
MP:0004897	owl:equivalentClass	DOID:12185	semapv:UnspecifiedMatching	0.75
MP:0004947	owl:equivalentClass	DOID:2723	semapv:UnspecifiedMatching	0.75
MP:0005036	owl:equivalentClass	DOID:13250	semapv:UnspecifiedMatching	0.75
MP:0005152	owl:equivalentClass	DOID:12450	semapv:UnspecifiedMatching	0.75
MP:0005157	owl:equivalentClass	DOID:4621	semapv:UnspecifiedMatching	0.75
MP:0005159	owl:equivalentClass	DOID:14227	semapv:UnspecifiedMatching	0.75
MP:0005190	owl:equivalentClass	DOID:1019	semapv:UnspecifiedMatching	0.75
MP:0005244	owl:equivalentClass	DOID:11482	semapv:UnspecifiedMatching	0.75
MP:0005245	owl:equivalentClass	DOID:801	semapv:UnspecifiedMatching	0.75
MP:0005251	owl:equivalentClass	DOID:9423	semapv:UnspecifiedMatching	0.75
MP:0005254	owl:equivalentClass	DOID:540	semapv:UnspecifiedMatching	0.75
MP:0005255	owl:equivalentClass	DOID:1143	semapv:UnspecifiedMatching	0.75
MP:0005256	owl:equivalentClass	DOID:9840	semapv:UnspecifiedMatching	0.75
MP:0005258	owl:equivalentClass	DOID:9282	semapv:UnspecifiedMatching	0.75
MP:0005260	owl:equivalentClass	DOID:790	semapv:UnspecifiedMatching	0.75
MP:0005261	owl:equivalentClass	DOID:12271	semapv:UnspecifiedMatching	0.75
MP:0005262	owl:equivalentClass	DOID:12270	semapv:UnspecifiedMatching	0.75
MP:0005264	owl:equivalentClass	DOID:0050851	semapv:UnspecifiedMatching	0.75
MP:0005279	owl:equivalentClass	DOID:8986	semapv:UnspecifiedMatching	0.75
MP:0005297	owl:equivalentClass	DOID:0080073	semapv:UnspecifiedMatching	0.75
MP:0005302	owl:equivalentClass	DOID:12143	semapv:UnspecifiedMatching	0.75
MP:0005312	owl:equivalentClass	DOID:118	semapv:UnspecifiedMatching	0.75
MP:0005323	owl:equivalentClass	DOID:543	semapv:UnspecifiedMatching	0.75
MP:0005330	owl:equivalentClass	DOID:0050700	semapv:UnspecifiedMatching	0.75
MP:0005414	owl:equivalentClass	DOID:13619	semapv:UnspecifiedMatching	0.75
MP:0005415	owl:equivalentClass	DOID:1852	semapv:UnspecifiedMatching	0.75
MP:0005421	owl:equivalentClass	DOID:3144	semapv:UnspecifiedMatching	0.75
MP:0005422	owl:equivalentClass	DOID:4254	semapv:UnspecifiedMatching	0.75
MP:0005505	owl:equivalentClass	DOID:2228	semapv:UnspecifiedMatching	0.75
MP:0005515	owl:equivalentClass	DOID:13141	semapv:UnspecifiedMatching	0.75
MP:0005544	owl:equivalentClass	DOID:11547	semapv:UnspecifiedMatching	0.241935
MP:0005604	owl:equivalentClass	DOID:0060695	semapv:UnspecifiedMatching	0.75
MP:0005638	owl:equivalentClass	DOID:2352	semapv:UnspecifiedMatching	0.75
MP:0005639	owl:equivalentClass	DOID:12119	semapv:UnspecifiedMatching	0.75
MP:0005654	owl:equivalentClass	DOID:13268	semapv:UnspecifiedMatching	0.75
MP:0006034	owl:equivalentClass	DOID:0080108	semapv:UnspecifiedMatching	0.75
MP:0006050	owl:equivalentClass	DOID:3770	semapv:UnspecifiedMatching	0.75
MP:0006061	owl:equivalentClass	DOID:0060856	semapv:UnspecifiedMatching	0.75
MP:0006077	owl:equivalentClass	DOID:0060320	semapv:UnspecifiedMatching	0.75
MP:0006093	owl:equivalentClass	DOID:11294	semapv:UnspecifiedMatching	0.75
MP:0006117	owl:equivalentClass	DOID:1712	semapv:UnspecifiedMatching	0.75
MP:0006118	owl:equivalentClass	DOID:5232	semapv:UnspecifiedMatching	0.75
MP:0006120	owl:equivalentClass	DOID:988	semapv:UnspecifiedMatching	0.75
MP:0006122	owl:equivalentClass	DOID:1754	semapv:UnspecifiedMatching	0.75
MP:0006124	owl:equivalentClass	DOID:4078	semapv:UnspecifiedMatching	0.75
MP:0006125	owl:equivalentClass	DOID:5644	semapv:UnspecifiedMatching	0.75
MP:0006128	owl:equivalentClass	DOID:6420	semapv:UnspecifiedMatching	0.75
MP:0006136	owl:equivalentClass	DOID:799	semapv:UnspecifiedMatching	0.75
MP:0006138	owl:equivalentClass	DOID:6000	semapv:UnspecifiedMatching	0.75
MP:0006151	owl:equivalentClass	DOID:11782	semapv:UnspecifiedMatching	0.75
MP:0006153	owl:equivalentClass	DOID:9834	semapv:UnspecifiedMatching	0.75
MP:0006159	owl:equivalentClass	DOID:0050633	semapv:UnspecifiedMatching	0.75
MP:0006164	owl:equivalentClass	DOID:1570	semapv:UnspecifiedMatching	0.75
MP:0006165	owl:equivalentClass	DOID:12397	semapv:UnspecifiedMatching	0.75
MP:0006177	owl:equivalentClass	DOID:980	semapv:UnspecifiedMatching	0.23611
MP:0006186	owl:equivalentClass	DOID:0050855	semapv:UnspecifiedMatching	0.2333325
MP:0006190	owl:equivalentClass	DOID:12510	semapv:UnspecifiedMatching	0.75
MP:0006191	owl:equivalentClass	DOID:11653	semapv:UnspecifiedMatching	0.2439025
MP:0006194	owl:equivalentClass	DOID:9368	semapv:UnspecifiedMatching	0.75
MP:0006198	owl:equivalentClass	DOID:11175	semapv:UnspecifiedMatching	0.75
MP:0006199	owl:equivalentClass	DOID:9837	semapv:UnspecifiedMatching	0.75
MP:0006222	owl:equivalentClass	DOID:1891	semapv:UnspecifiedMatching	0.75
MP:0006248	owl:equivalentClass	DOID:12959	semapv:UnspecifiedMatching	0.75
MP:0006261	owl:equivalentClass	DOID:0060850	semapv:UnspecifiedMatching	0.75
MP:0006278	owl:equivalentClass	DOID:3627	semapv:UnspecifiedMatching	0.75
MP:0008387	owl:equivalentClass	DOID:11759	semapv:UnspecifiedMatching	0.75
MP:0008388	owl:equivalentClass	DOID:0050642	semapv:UnspecifiedMatching	0.75
MP:0008389	owl:equivalentClass	DOID:0050642	semapv:UnspecifiedMatching	0.24138
MP:0008541	owl:equivalentClass	DOID:12986	semapv:UnspecifiedMatching	0.75
MP:0008543	owl:equivalentClass	DOID:0060224	semapv:UnspecifiedMatching	0.75
MP:0008869	owl:equivalentClass	DOID:3781	semapv:UnspecifiedMatching	0.75
MP:0008970	owl:equivalentClass	DOID:9574	semapv:UnspecifiedMatching	0.75
MP:0009274	owl:equivalentClass	DOID:11211	semapv:UnspecifiedMatching	0.75
MP:0009445	owl:equivalentClass	DOID:10573	semapv:UnspecifiedMatching	0.75
MP:0009578	owl:equivalentClass	DOID:0060341	semapv:UnspecifiedMatching	0.75
MP:0009644	owl:equivalentClass	DOID:4676	semapv:UnspecifiedMatching	0.75
MP:0009668	owl:equivalentClass	DOID:0060329	semapv:UnspecifiedMatching	0.75
MP:0009699	owl:equivalentClass	DOID:14118	semapv:UnspecifiedMatching	0.75
MP:0009744	owl:equivalentClass	DOID:1148	semapv:UnspecifiedMatching	0.75
MP:0009792	owl:equivalentClass	DOID:8741	semapv:UnspecifiedMatching	0.75
MP:0009825	owl:equivalentClass	DOID:8463	semapv:UnspecifiedMatching	0.24
