# creator_id: orcid:0000-0002-2232-0967
# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   MP: http://purl.obolibrary.org/obo/MP_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   orcid: https://orcid.org/
#   obo: http://purl.obolibrary.org/obo/
#   semapv: https://w3id.org/semapv/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://www.mousephenotype.org
# mapping_set_description: 'The IMPC Mouse Morphology Mappings: Eye Morphology Test'
# mapping_set_id: mp_hp_eye_impc
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
MP:0001289	persistence of hyaloid vascular system	skos:closeMatch	HP:0007968	Remnants of the hyaloid vascular system	semapv:LexicalMatching
MP:0001293	anophthalmia	skos:exactMatch	HP:0000528	Anophthalmia	semapv:LexicalMatching
MP:0001303	abnormal lens morphology	skos:closeMatch	HP:0000517	Abnormality of the lens	semapv:LexicalMatching
MP:0001304	cataract	skos:exactMatch	HP:0000518	Cataract	semapv:LexicalMatching
MP:0001307	fused cornea and lens	skos:closeMatch	HP:0011485	Corneolenticular adhesion	semapv:LogicalReasoning
MP:0001312	abnormal cornea morphology	skos:exactMatch	HP:0000481	Abnormal cornea morphology	semapv:LexicalMatching
MP:0001314	corneal opacity	skos:exactMatch	HP:0007957	Corneal opacity	semapv:LexicalMatching
MP:0001319	irregularly shaped pupil	skos:exactMatch	HP:0025309	Abnormal pupil shape	semapv:LogicalReasoning
MP:0001325	abnormal retina morphology	skos:closeMatch	HP:0000479	Abnormal retinal morphology	semapv:LexicalMatching
MP:0001340	abnormal eyelid morphology	skos:exactMatch	HP:0000492	Abnormal eyelid morphology	semapv:LexicalMatching
MP:0001349	excessive tearing	skos:closeMatch	HP:0009926	Epiphora	semapv:LogicalReasoning
MP:0002546	mydriasis	skos:exactMatch	HP:0011499	Mydriasis	semapv:LexicalMatching
MP:0002638	abnormal pupillary reflex	skos:closeMatch	HP:0007695	Abnormal pupillary light reflex	semapv:LexicalMatching
MP:0002699	abnormal vitreous body morphology	skos:closeMatch	HP:0004327	Abnormal vitreous humor morphology	semapv:LogicalReasoning
MP:0002750	exophthalmos	skos:closeMatch	HP:0000520	Proptosis	semapv:LogicalReasoning
MP:0002792	abnormal retinal vasculature morphology	skos:closeMatch	HP:0008046	Abnormal retinal vascular morphology	semapv:LexicalMatching
MP:0003731	abnormal retinal outer nuclear layer morphology	skos:closeMatch	HP:0000479	Abnormal retinal morphology	semapv:LogicalReasoning
MP:0003731	abnormal retinal outer nuclear layer morphology	skos:closeMatch	HP:0000479	Abnormal retinal morphology	semapv:LogicalReasoning
MP:0003733	abnormal retinal inner nuclear layer morphology	skos:closeMatch	HP:0000479	Abnormal retinal morphology	semapv:LogicalReasoning
MP:0003733	abnormal retinal inner nuclear layer morphology	skos:closeMatch	HP:0000479	Abnormal retinal morphology	semapv:LogicalReasoning
MP:0004222	iris synechia	skos:closeMatch	HP:0011483	Anterior synechiae of the anterior chamber	semapv:LexicalMatching
MP:0004222	iris synechia	skos:closeMatch	HP:0011484	Posterior synechiae of the anterior chamber	semapv:LexicalMatching
MP:0005102	abnormal iris pigmentation	skos:exactMatch	HP:0008034	Abnormal iris pigmentation	semapv:LexicalMatching
MP:0005176	eyelids fail to open	skos:closeMatch	HP:0009755	Ankyloblepharon	semapv:LogicalReasoning
MP:0005287	narrow eye opening	skos:closeMatch	HP:0045025	Narrow palpebral fissure	semapv:LogicalReasoning
MP:0005542	corneal vascularization	skos:closeMatch	HP:0011496	Corneal neovascularization	semapv:LexicalMatching
MP:0005543	decreased cornea thickness	skos:exactMatch	HP:0100689	Decreased corneal thickness	semapv:LexicalMatching
MP:0005544	corneal deposits	skos:closeMatch	HP:0000531	Corneal crystals	semapv:LogicalReasoning
MP:0006203	eye hemorrhage	skos:exactMatch	HP:0011885	Hemorrhage of the eye	semapv:LexicalMatching
MP:0006241	abnormal placement of pupils	skos:closeMatch	HP:0009918	Ectopia pupillae	semapv:LogicalReasoning
MP:0006241	constricted or contracted pupil	skos:closeMatch	HP:0025309	Abnormal pupil shape	semapv:LogicalReasoning
MP:0008259	abnormal optic disc morphology	skos:closeMatch	HP:0012795	Abnormality of the optic disc	semapv:LexicalMatching
MP:0009825	cornea ulcer	skos:closeMatch	HP:0012804	Corneal ulceration	semapv:LexicalMatching
MP:0010097	abnormal retinal blood vessel morphology	skos:closeMatch	HP:0008046	Abnormal retinal vascular morphology	semapv:LexicalMatching
MP:0010097	abnormal retinal blood vessel morphology	skos:closeMatch	HP:0008046	Abnormal retinal vascular morphology	semapv:LexicalMatching
MP:0011959	abnormal eye posterior chamber depth	skos:closeMatch	HP:0004329	Abnormal posterior eye segment morphology	semapv:LogicalReasoning
MP:0011959	abnormal eye posterior chamber depth	skos:closeMatch	HP:0004329	Abnormal posterior eye segment morphology	semapv:LogicalReasoning
MP:0011960	abnormal eye anterior chamber depth	skos:closeMatch	HP:0000593	Abnormal anterior chamber morphology	semapv:LogicalReasoning
MP:0011960	abnormal eye anterior chamber depth	skos:closeMatch	HP:0000593	Abnormal anterior chamber morphology	semapv:LogicalReasoning
MP:0011962	increased cornea thickness	skos:exactMatch	HP:0011487	Increased corneal thickness	semapv:LexicalMatching
MP:0011962	increased cornea thickness	skos:exactMatch	HP:0011487	Increased corneal thickness	semapv:LexicalMatching
MP:0011964	increased total retina thickness	skos:closeMatch	HP:0000479	Abnormal retinal morphology	semapv:LogicalReasoning
