#creator_id: https://orcid.org/0000-0002-7356-1779
#curie_map:
#  HP: http://purl.obolibrary.org/obo/HP_
#  MP: http://purl.obolibrary.org/obo/MP_
#  skos: http://www.w3.org/2004/02/skos/core
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: https://www.mousephenotype.org
#mapping_set_group: impc_mouse_morphology
#mapping_set_id: mp_hp_impc_pat
#mapping_set_title: 'The IMPC Mouse Morphology Mappings: Gross Pathology & Tissue Collection
#  Test (Phenotype)'
subject_id	subject_label	object_id	object_label	match_type	predicate_id	reviewer_id
MP:0002152	abnormal brain morphology	HP:0012443	Abnormality of brain morphology	SSSOMC:Lexical	skos:exactMatch	orcid:0000-0002-7356-1779
MP:0001891	hydroencephaly	HP:0000238	Hydrocephalus	SSSOMC:Lexical	skos:closeMatch	
MP:0000774	decreased brain size	HP:0007058	Generalized cerebral atrophy/hypoplasia	SSSOMC:Logical	skos:closeMatch	
MP:0005238	increased brain size	HP:0001355	Megalencephaly	SSSOMC:Logical	skos:closeMatch	
MP:0002092	abnormal eye morphology	HP:0012372	Abnormal eye morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0001293	anophthalmia	HP:0000528	Anophthalmia	SSSOMC:Lexical	skos:closeMatch	
MP:0001297	microphthalmia	HP:0000568	Microphthalmia	SSSOMC:Lexical	skos:exactMatch	
MP:0001296	macrophthalmia	HP:0001090	Abnormally large globe	SSSOMC:Logical	skos:closeMatch	
MP:0001330	abnormal optic nerve morphology	HP:0000587	Abnormality of the optic nerve	SSSOMC:Logical	skos:closeMatch	
MP:0001333	absent optic nerve	HP:0012521	Optic nerve aplasia	SSSOMC:Logical	skos:closeMatch	
MP:0006221	optic nerve hypoplasia	HP:0000609	Optic nerve hypoplasia	SSSOMC:Lexical	skos:closeMatch	
MP:0008529	enlarged optic nerve	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:000095	abnormal spinal cord morphology	HP:0002143	Abnormality of the spinal cord	SSSOMC:Lexical	skos:closeMatch	
MP:0000703	abnormal thymus morphology	HP0000777	Abnormality of the thymus	SSSOMC:Lexical	skos:closeMatch	
MP:0000705	athymia	HP:0005359	Aplasia of the thymus	SSSOMC:Logical	skos:closeMatch	
MP:0000706	small thymus	HP:0000778	Hypoplasia of the thymus	SSSOMC:Logical	skos:closeMatch	
MP:0000709	enlarged thymus	HP:0010516	Thymus hyperplasia	SSSOMC:Logical	skos:closeMatch	
MP:0000681	abnormal thyroid gland morphology	HP:0011772	Abnormality of thyroid morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0005314	absent thyroid gland	HP:0008191	Thyroid agenesis	SSSOMC:Logical	skos:closeMatch	
MP:0002951	small thyroid gland	HP:0005990	Thyroid hypoplasia	SSSOMC:Logical	skos:closeMatch	
MP:0005355	enlarged thyroid gland	HP:0008249	Thyroid hyperplasia	SSSOMC:Logical	skos:closeMatch	
MP:0000266	abnormal heart morphology	HP:0001654	Abnormal heart morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0006065	abnormal heart position or orientation	HP:0004307	Abnormal anatomic location of the heart	SSSOMC:Logical	skos:closeMatch	
MP:0002188	small heart	HP:0001961	Hypoplastic heart	SSSOMC:Logical	skos:closeMatch	
MP:0008725	enlarged heart atrium	HP:0031295	Left atrial enlargement	SSSOMC:Logical	skos:closeMatch	
MP:0008725	enlarged heart atrium	HP:0030718	Right atrial enlargement	SSSOMC:Logical	skos:closeMatch	
MP:0000274	enlarged heart	HP:0001640	Cardiomegaly	SSSOMC:Logical	skos:closeMatch	
MP:0002282	abnormal trachea morphology	HP:0002778	Abnormal trachea morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0004549	small trachea	HP:0100682	Tracheal atresia	SSSOMC:Logical	skos:closeMatch	
MP:0003321	tracheoesophageal fistula	HP:0002575	Tracheoesophageal fistula	SSSOMC:Lexical	skos:closeMatch	
MP:0012672	enlarged trachea	HP:0010778	Tracheomegaly	SSSOMC:Logical	skos:closeMatch	
MP:0000467	abnormal esophagus morphology	HP:0002031	Abnormal esophagus morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0010880	small esophagus	HP:0002032	Esophageal atresia	SSSOMC:Logical	skos:closeMatch	
MP:0004545	enlarged esophagus	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0001175	abnormal lung morphology	HP:0002088	Abnormal lung morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0001181	absent lung	HP:0006703	Aplasia/Hypoplasia of the lungs	SSSOMC:Logical	skos:closeMatch	
MP:0003641	small lung	HP:0006703	Aplasia/Hypoplasia of the lungs	SSSOMC:Logical	skos:closeMatch	
MP:0004882	enlarged lung	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000598	abnormal liver morphology	HP:0410042	Abnormal liver morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0011877	absent liver	HP:0100839	Hepatic agenesis	SSSOMC:Logical	skos:closeMatch	
MP:0000601	small liver	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000599	enlarged liver	HP:0002240	Hepatomegaly	SSSOMC:Logical	skos:closeMatch	
MP:0005084	abnormal gall bladder morphology	HP:0012437	Abnormal gallbladder morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0003250	absent gall bladder	HP:0011467	Absent gallbladder	SSSOMC:Lexical	skos:closeMatch	
MP:0005675	small gall bladder	HP:0005233	Hypoplasia of the gallbladder	SSSOMC:Logical	skos:closeMatch	
MP:0009342	enlarged gall bladder	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000470	abnormal stomach morphology	HP:0002577	Abnormality of the stomach	SSSOMC:Logical	skos:closeMatch	
MP:0011875	absent stomach	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0002691	small stomach	HP:0100841	Microgastria	SSSOMC:Logical	skos:closeMatch	
MP:0003883	enlarged stomach	HP:0005207	Gastic hypertrophy	SSSOMC:Logical	skos:closeMatch	
MP:0003271	abnormal duodenum morphology	HP:0030992	Abnormality of the duodenum	SSSOMC:Lexical	skos:closeMatch	
MP:0011880	absent duodenum	HP:0002247	Duodenal atresia	SSSOMC:Logical	skos:closeMatch	
MP:0011882	enlarged duodenum	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0003294	intussusception	HP:0002576	Intussusception	SSSOMC:Logical	skos:closeMatch	
MP:0004002	abnormal jejunum morphology	HP:0005265	Abnormality of the jejunum	SSSOMC:Logical	skos:closeMatch	
MP:0000498	absent jejunum	HP:0005235	Jejunal atresia	SSSOMC:Logical	skos:closeMatch	
MP:0011503	distended jejunum	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0002581	abnormal ileum morphology	HP:0001549	Abnormal ileum morphology	SSSOMC:Logical	skos:closeMatch	
MP:0000499	absent ileum	HP:0011102	Ileal atresia	SSSOMC:Logical	skos:closeMatch	
MP:0009483	enlarged ileum	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000494	abnormal cecum morphology	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0009000	absent cecum	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0009477	small cecum	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0009476	enlarged cecum	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000495	abnormal colon morphology	HP:0002250	Abnormal large intestine morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0011884	absent colon	HP:0500027	Aplastic colon	SSSOMC:Logical	skos:closeMatch	
MP:0003296	microcolon	HP:0004388	Microcolon	SSSOMC:Lexical	skos:closeMatch	
MP:0002731	megacolon	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000492	abnormal rectum morphology	HP:0002034	Abnormality of the rectum	SSSOMC:Lexical	skos:closeMatch	
MP:0009509	absent rectum	HP:0025023	Rectal atresia	SSSOMC:Logical	skos:closeMatch	
MP:0000493	rectal prolapse	HP:0002035	Rectal prolapse	SSSOMC:Lexical	skos:closeMatch	
MP:0003318	rectoperineal fistula	HP:0004792	Rectoperineal fistula	SSSOMC:Lexical	skos:closeMatch	
MP:0003320	rectovaginal fistula	HP:0000143	Rectovaginal fistula	SSSOMC:Lexical	skos:closeMatch	
MP:0001944	abnormal pancreas morphology	HP:0012090	Abnormal pancreas morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0003655	absent pancreas	HP:0100801	Pancreatic aplasia	SSSOMC:Logical	skos:closeMatch	
MP:0004247	small pancreas	HP:0002594	Pancreatic hypoplasia	SSSOMC:Logical	skos:closeMatch	
MP:0003450	enlarged pancreas	HP:0006277	Pancreatic hyperplasia	SSSOMC:Logical	skos:closeMatch	
MP:0000689	abnormal spleen morphology	HP:0025408	Abnormal spleen morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0000690	absent spleen	HP:0001746	Asplenia	SSSOMC:Logical	skos:closeMatch	
MP:0000692	small spleen	HP:0006270	Hypoplastic spleen	SSSOMC:Logical	skos:closeMatch	
MP:0000691	enlarged spleen	HP:0001744	Splenomegaly	SSSOMC:Logical	skos:closeMatch	
MP:0002135	abnormal kidney morphology	HP:0012210	Abnormal renal morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0003604	single kidney	HP:0000122	Unilateral renal agenesis	SSSOMC:Logical	skos:closeMatch	
MP:0003068	enlarged kidney	HP:0000105	Enlarged kidney	SSSOMC:Lexical	skos:closeMatch	
MP:0002989	small kidney	HP:0000089	Renal hypoplasia	SSSOMC:Logical	skos:closeMatch	
MP:0008528	polycystic kidney	HP:0000113	Polycystic kidney dysplasia	SSSOMC:Lexical	skos:closeMatch	
MP:0000639	abnormal adrenal gland morphology	HP:0011732	Abnormality of adrenal morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0005313	absent adrenal gland	HP:0011743	Adrenal gland agenesis	SSSOMC:Lexical	skos:closeMatch	
MP:0002768	small adrenal glands	HP:0000835	Adrenal hypoplasia	SSSOMC:Lexical	skos:closeMatch	
MP:0000642	enlarged adrenal glands	HP:0008221	Adrenal hyperplasia	SSSOMC:Lexical	skos:closeMatch	
MP:0000627	abnormal mammary gland morphology	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000629	absent mammary gland	HP:0100783	Breast aplasia	SSSOMC:Logical	skos:closeMatch	
MP:0009721	supernumerary mammary glands	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0002339	abnormal lymph node morphology	HP:0002733	Abnormality of the lymph nodes	SSSOMC:Lexical	skos:closeMatch	
MP:0008024	absent lymph nodes	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0002217	small lymph nodes	HP:0002732	Lymph node hypoplasia	SSSOMC:Logical	skos:closeMatch	
MP:0002219	decreased lymph node number	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
