#creator_id: https://orcid.org/0000-0002-7356-1779
#curie_map:
#  HP: http://purl.obolibrary.org/obo/HP_
#  MP: http://purl.obolibrary.org/obo/MP_
#  skos: http://www.w3.org/2004/02/skos/core
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: https://www.pistoiaalliance.org/projects/current-projects/ontologies-mapping/
#mapping_set_group: impc_mouse_morphology
#mapping_set_id: mp_hp_impc_xry
#mapping_set_title: 'The IMPC Mouse Morphology Mappings: X-ray Test'
subject_id	subject_label	object_id	object_label	match_type	predicate_id	reviewer_id
MP:0000438	abnormal cranium morphology	HP:0002648	Abnormality of calvarial morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0005270	abnormal zygomatic bone morphology	HP:0010668	Abnormality of the zygomatic bone	SSSOMC:Lexical	skos:exactMatch	orcid:0000-0002-7356-1779
MP:0000455	abnormal maxilla morphology	HP:0000326	Abnormality of the maxilla	SSSOMC:Lexical	skos:closeMatch	
MP:0000458	abnormal mandible morphology	HP:0000277	Abnormality of the mandible	SSSOMC:Lexical	skos:closeMatch	
MP:0002100	abnormal tooth morphology	HP:0006482	Abnormality of dental morphology	SSSOMC:Logical	skos:closeMatch	
MP:0000150	abnormal rib morphology	HP:0001547	Abnormality of the rib cage	SSSOMC:Logical	skos:closeMatch	
MP:0010099	abnormal thoracic cage shape	HP:0001547	Abnormality of the rib cage	SSSOMC:Logical	skos:closeMatch	
MP:0000154	rib fusion	HP:0000902	Rib fusion	SSSOMC:Lexical	skos:closeMatch	
MP:0000480	increased rib number	sssom:NoTermFound	No term found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0003345	decreased rib number	HP:0000921	Missing ribs	SSSOMC:Logical	skos:closeMatch	
MP:0000480	increased rib number	sssom:NoTermFound	No term found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0003345	decreased rib number	HP:0000921	Missing ribs	SSSOMC:Logical	skos:closeMatch	
MP:0003048	abnormal cervical vertebrae morphology	HP:0003468	Abnormal vertebral morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0004599	abnormal vertebral arch morphology	HP:0008438	Vertebral arch anomaly	SSSOMC:Lexical	skos:closeMatch	
MP:0010100	increased cervical vertebrae number	HP:0002946	Supernumerary vertebrae	SSSOMC:Logical	skos:closeMatch	
MP:0004646	decreased cervical vertebrae number	HP:0030305	Decreased number of vertebrae	SSSOMC:Lexical	skos:closeMatch	
MP:0003047	abnormal thoracic vertebrae morphology	HP:0003468	Abnormal vertebral morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0004599	abnormal vertebral arch morphology	HP:0008438	Vertebral arch anomaly	SSSOMC:Lexical	skos:closeMatch	
MP:0004651	increased thoracic vertebrae number	HP:0002946	Supernumerary vertebrae	SSSOMC:Logical	skos:closeMatch	
