#mapping_set_id: https://w3id.org/sssom/commons/mouse-human/mappings/mp_hp_mgi_all.sssom.tsv
#mapping_set_title: All mappings of MP terms to HPO terms generated by MGI
#mapping_set_description: "Consolidated list of all HPO to MP mappings done by MGI. In the comments section the project that was the source of the list is listed. Some terms came from more than one source. The KidsFirst list was a list of HPO terms provided by the KidsFirst team from the set of terms used for patients in their cohorts. The scoliosis, Alzheimer, cleft palate, Down Syndrome, CHARGE Syndrome, Cornelia De Lange Syndrome, and COVID term sets were generated by MGI for symptoms or phenotypes associated with the disease. For the COVID set the references for each sign or symptom are listed in the Other column. Initially the mapping dates for the KidsFirst mappings were not tracked, so these were given the date of when we received the file (5/27/21).  The scoliosis, cleft palate, Down Syndrome, CHARGE Syndrome, and Cornelia De Lange Syndrome sets consist of MP terms that are associated with mouse models of scoliosis. For Down Syndrome, CHARGE Syndrome, and Cornelia De Lange Syndrome HPO terms associated with each disease were also pulled from the HPO files for mapping. The Alzheimer and COVID sets were created by identifying symptoms and signs for patients from the literature then identifying the relevant MP and HP terms and finally mapping the identified terms to terms in the other ontology. Use of skos mappings terms: exact match: MP term is the same as the HPO term, ignoring that the HP term applies only to humans; broad match: HPO term covers more than the MP term, ignoring the species restriction; narrow match: HPO term is more restricted than the MP term; related match: MP term and HPO term share some similarity but would not have a parent-child relation in a shared ontology."
#creator_id:
# - orcid:0000-0003-4606-0597
# - orcid:0000-0002-6490-7723
# - orcid:0000-0003-2307-1226
# - ror:021sy4w91
# - wikidata:Q1951035
#license: https://creativecommons.org/licenses/by/4.0/
#object_source: obo:hp
#subject_source: obo:mp
#curie_map:
# HP: http://purl.obolibrary.org/obo/HP_
# MP: http://purl.obolibrary.org/obo/MP_
# skos: http://www.w3.org/2004/02/skos/core#
# orcid: https://orcid.org/
# ror: https://ror.org/
# wikidata: https://www.wikidata.org/wiki/
# obo: http://purl.obolibrary.org/obo/
# semapv: https://w3id.org/semapv/vocab/
object_id	object_label	predicate_id	confidence	subject_id	subject_label	mapping_justification	author_id	mapping_date	comment	other
HP:0000016	Urinary retention	skos:exactMatch	1	MP:0003622	ischuria	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-08-02	scoliosis	
HP:0000023	Inguinal hernia	skos:exactMatch	1	MP:0006077	inguinal hernia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000028	Cryptorchidism	skos:exactMatch	1	MP:0002286	cryptorchism	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000033	Ambiguous genitalia male	skos:narrowMatch	1	MP:0009198	abnormal male genitalia morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-02-07	KidsFirst; existing annotations from J:15425, J:98554 annotations are scattered under various terms, https://github.com/mgijax/mammalian-phenotype-ontology/issues/3511	
HP:0000034	Hydrocele testis	skos:narrowMatch	1	MP:0003623	hydrocele	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-05-27	KidsFirst; MP term does not specify clear fluid or where accumulation occurs (space between the layers of the tunica vaginalis)	
HP:0000039	Epispadias	skos:exactMatch	1	MP:0003598	epispadia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2022-09-02	KidsFirst; These will be exact once the change to the HP definition goes through. The MP term is also incorrectly placed under abnormal penis morphology MP:0005187. This parent term has been removed (see MP issue 3512)	
HP:0000041	Chordee	skos:closeMatch	0.7	MP:0003555	chordee	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-09-20	KidsFirst; The MP term definition for chordee MP:0003555 specifies acute angulation of the penis upon erection and places chordee under abnormal penile erection MP:0001379, unlike HPO which places Chordee HP:0000041 under Abnormal penis morphology HP:0000036 and provides details on the direction of bowing and degree of angulation. I think the match is therefore close and the MP term should be placed under both abnormal penile erection and morphology (see https://educalingo.com/en/dic-en/chordee)	
HP:0000047	Hypospadias	skos:narrowMatch	1	MP:0003124	hypospadia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; The MP definition includes abnormal location of urethral opening in both males and females; hpo has just males so this is a broad match, Anna will create subterms for male and female	
HP:0000048	Bifid scrotum	skos:exactMatch	1	MP:0003612	bifid scrotum	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-02-11	KidsFirst	
HP:0000049	Shawl scrotum	skos:narrowMatch	1	MP:0002669	abnormal scrotum morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-02-11	KidsFirst; no relevant annotations in MGI	
