#mapping_set_id: https://w3id.org/sssom/commons/mouse-human/mappings/mp_hp_mgi_lex.sssom.tsv
#mapping_set_title: All mappings of MP terms to HPO terms generated by MGI
#mapping_set_description: "Mappings created by Mouse Genome Informatics (MGI) by lexical matches between term and synonym labels. Lexical mappings are made by comparing the text of each label and calling a match whenever the labels are identical. Term label to term label matches are all skos:exactMatch. Term label to synonym label are made depending on the synonym type (eg. exact synonym = exactMatch). For narrow and broad synonyms the match type is identical to synonym type when the match is HP term label to MP synonym label but reversed when it is MP term label to HP synonym label. Synonym to synonym matches are made for exact synonyms to any other type of synonym the same as for term label to synonym matches. Non-exact to non-exact synonym matches are currently only made for HP narrow to MP narrow (this is a broadMatch). The other possible matches either had no examples or gave incorrect matches and thus were not included in the mappings. Matches were reviewed manually during the creation of the mapping pipeline but are not routinely manually reviewed. Pipeline was created in 2024 and matches are updated regularly."
#creator_id:
# - orcid:0000-0003-4606-0597
# - ror:021sy4w91
#license: https://creativecommons.org/licenses/by/4.0/
#object_source: obo:hp
#subject_source: obo:mp
#curie_map:
# HP: http://purl.obolibrary.org/obo/HP_
# MP: http://purl.obolibrary.org/obo/MP_
# skos: http://www.w3.org/2004/02/skos/core#
# orcid: https://orcid.org/
# ror: https://ror.org/
# wikidata: https://www.wikidata.org/wiki/
# obo: http://purl.obolibrary.org/obo/
# semapv: https://w3id.org/semapv/vocab/
object_id	object_label	predicate_id	confidence	subject_id	subject_label	mapping_justification	mapping_tool	mapping_date	object_match_field	subject_match_field	match_string
HP:4000041	AA amyloidosis	skos:exactMatch	1	MP:0021146	AA amyloidosis	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	AA amyloidosis
HP:0031565	Abdominal situs ambiguus	skos:exactMatch	1	MP:0011250	abdominal situs ambiguus	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abdominal situs ambiguus
HP:0003363	Abdominal situs inversus	skos:exactMatch	1	MP:0011249	abdominal situs inversus	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abdominal situs inversus
HP:0004298	Abnormal abdominal wall morphology	skos:exactMatch	1	MP:0003257	abnormal abdominal wall morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal abdominal wall morphology
HP:0003170	Abnormal acetabulum morphology	skos:exactMatch	1	MP:0030830	abnormal acetabulum morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal acetabulum morphology
HP:0030684	Abnormal adiponectin level	skos:exactMatch	1	MP:0004891	abnormal adiponectin level	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal adiponectin level
HP:0009124	Abnormal adipose tissue morphology	skos:exactMatch	1	MP:0000003	abnormal adipose tissue morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal adipose tissue morphology
HP:0430037	Abnormal alcohol consumption	skos:exactMatch	1	MP:0001425	abnormal alcohol consumption	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal alcohol consumption
HP:0032984	Abnormal alveolar macrophage morphology	skos:exactMatch	1	MP:0008245	abnormal alveolar macrophage morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal alveolar macrophage morphology
HP:0033668	Abnormal amygdala morphology	skos:exactMatch	1	MP:0000818	abnormal amygdala morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal amygdala morphology
HP:0004328	Abnormal anterior eye segment morphology	skos:exactMatch	1	MP:0005193	abnormal anterior eye segment morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal anterior eye segment morphology
HP:0000236	Abnormal anterior fontanelle morphology	skos:exactMatch	1	MP:0030363	abnormal anterior fontanelle morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal anterior fontanelle morphology
HP:0034915	Abnormal anus morphology	skos:exactMatch	1	MP:0005034	abnormal anus morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal anus morphology
HP:0012303	Abnormal aortic arch morphology	skos:exactMatch	1	MP:0004113	abnormal aortic arch morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal aortic arch morphology
HP:0031567	Abnormal aortic valve cusp morphology	skos:exactMatch	1	MP:0010595	abnormal aortic valve cusp morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal aortic valve cusp morphology
HP:0001646	Abnormal aortic valve morphology	skos:exactMatch	1	MP:0002747	abnormal aortic valve morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal aortic valve morphology
HP:4000056	Abnormal apoptosis	skos:exactMatch	1	MP:0001648	abnormal apoptosis	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal apoptosis
HP:0011844	Abnormal appendicular skeleton morphology	skos:exactMatch	1	MP:0009250	abnormal appendicular skeleton morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal appendicular skeleton morphology
HP:0031784	Abnormal ascending aorta morphology	skos:exactMatch	1	MP:0009867	abnormal ascending aorta morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal ascending aorta morphology
HP:0100707	Abnormal astrocyte morphology	skos:exactMatch	1	MP:0002182	abnormal astrocyte morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal astrocyte morphology
HP:0006705	Abnormal atrioventricular valve morphology	skos:exactMatch	1	MP:0002745	abnormal atrioventricular valve morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal atrioventricular valve morphology
HP:0012331	Abnormal autonomic nervous system morphology	skos:exactMatch	1	MP:0002751	abnormal autonomic nervous system morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal autonomic nervous system morphology
HP:0012332	Abnormal autonomic nervous system physiology	skos:exactMatch	1	MP:0006276	abnormal autonomic nervous system physiology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal autonomic nervous system physiology
HP:0009121	Abnormal axial skeleton morphology	skos:exactMatch	1	MP:0002114	abnormal axial skeleton morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal axial skeleton morphology
HP:0001912	Abnormal basophil morphology	skos:exactMatch	1	MP:0002422	abnormal basophil morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal basophil morphology
HP:0002846	Abnormal B cell morphology	skos:exactMatch	1	MP:0004939	abnormal B cell morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal B cell morphology
HP:0005372	Abnormal B cell physiology	skos:exactMatch	1	MP:0002459	abnormal B cell physiology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal B cell physiology
HP:0031380	Abnormal B cell proliferation	skos:exactMatch	1	MP:0005153	abnormal B cell proliferation	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal B cell proliferation
HP:0012440	Abnormal biliary tract morphology	skos:exactMatch	1	MP:0005083	abnormal biliary tract morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal biliary tract morphology
HP:0012415	Abnormal blood gas level	skos:exactMatch	1	MP:0002329	abnormal blood gas level	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal blood gas level
HP:0033353	Abnormal blood vessel morphology	skos:exactMatch	1	MP:0001614	abnormal blood vessel morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal blood vessel morphology
HP:0011862	Abnormal bone collagen fibril morphology	skos:exactMatch	1	MP:0011642	abnormal bone collagen fibril morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal bone collagen fibril morphology
HP:0011849	Abnormal bone ossification	skos:exactMatch	1	MP:0008271	abnormal bone ossification	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal bone ossification
HP:0003330	Abnormal bone structure	skos:exactMatch	1	MP:0003795	abnormal bone structure	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal bone structure
HP:0012443	Abnormal brain morphology	skos:exactMatch	1	MP:0002152	abnormal brain morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal brain morphology
HP:0002363	Abnormal brainstem morphology	skos:exactMatch	1	MP:0005277	abnormal brainstem morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal brainstem morphology
HP:0025426	Abnormal bronchus morphology	skos:exactMatch	1	MP:0002264	abnormal bronchus morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal bronchus morphology
HP:0032580	Abnormal bulbus cordis morphology	skos:exactMatch	1	MP:0010568	abnormal bulbus cordis morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal bulbus cordis morphology
HP:0025016	Abnormal capillary morphology	skos:exactMatch	1	MP:0003658	abnormal capillary morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal capillary morphology
HP:0033528	Abnormal cardiac output	skos:exactMatch	1	MP:0001627	abnormal cardiac output	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cardiac output
HP:0030680	Abnormal cardiovascular system morphology	skos:exactMatch	1	MP:0002127	abnormal cardiovascular system morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cardiovascular system morphology
HP:0011025	Abnormal cardiovascular system physiology	skos:exactMatch	1	MP:0001544	abnormal cardiovascular system physiology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cardiovascular system physiology
HP:0005344	Abnormal carotid artery morphology	skos:exactMatch	1	MP:0004181	abnormal carotid artery morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal carotid artery morphology
HP:0002763	Abnormal cartilage morphology	skos:exactMatch	1	MP:0000163	abnormal cartilage morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cartilage morphology
HP:0002339	Abnormal caudate nucleus morphology	skos:exactMatch	1	MP:0004078	abnormal caudate nucleus morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal caudate nucleus morphology
HP:0025002	Abnormal cecum morphology	skos:exactMatch	1	MP:0000494	abnormal cecum morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cecum morphology
HP:0012326	Abnormal celiac artery morphology	skos:exactMatch	1	MP:0013854	abnormal celiac artery morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal celiac artery morphology
HP:0025461	Abnormal cell morphology	skos:exactMatch	1	MP:0000358	abnormal cell morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cell morphology
HP:0031377	Abnormal cell proliferation	skos:exactMatch	1	MP:0000350	abnormal cell proliferation	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cell proliferation
HP:0100717	Abnormal cementum morphology	skos:exactMatch	1	MP:0003933	abnormal cementum morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cementum morphology
HP:0031422	Abnormal cerebellar cortex morphology	skos:exactMatch	1	MP:0004097	abnormal cerebellar cortex morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cerebellar cortex morphology
HP:0011931	Abnormal cerebellar peduncle morphology	skos:exactMatch	1	MP:0009976	abnormal cerebellar peduncle morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cerebellar peduncle morphology
HP:0001317	Abnormal cerebellum morphology	skos:exactMatch	1	MP:0000849	abnormal cerebellum morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cerebellum morphology
HP:0009145	Abnormal cerebral artery morphology	skos:exactMatch	1	MP:0013821	abnormal cerebral artery morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cerebral artery morphology
HP:0002538	Abnormal cerebral cortex morphology	skos:exactMatch	1	MP:0000788	abnormal cerebral cortex morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cerebral cortex morphology
HP:0004426	Abnormal cheek morphology	skos:exactMatch	1	MP:0030246	abnormal cheek morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cheek morphology
HP:0032929	Abnormal chondrocyte morphology	skos:exactMatch	1	MP:0000166	abnormal chondrocyte morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal chondrocyte morphology
HP:0033042	Abnormal chorion morphology	skos:exactMatch	1	MP:0002836	abnormal chorion morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal chorion morphology
HP:0007376	Abnormal choroid plexus morphology	skos:exactMatch	1	MP:0000820	abnormal choroid plexus morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal choroid plexus morphology
HP:0031411	Abnormal chromosome morphology	skos:exactMatch	1	MP:0003702	abnormal chromosome morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal chromosome morphology
HP:0012776	Abnormal ciliary body morphology	skos:exactMatch	1	MP:0005099	abnormal ciliary body morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal ciliary body morphology
HP:0012518	Abnormal circle of Willis morphology	skos:exactMatch	1	MP:0014016	abnormal circle of Willis morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal circle of Willis morphology
HP:0030347	Abnormal circulating androgen level	skos:exactMatch	1	MP:0009819	abnormal circulating androgen level	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal circulating androgen level
HP:0012112	Abnormal circulating corticosterone level	skos:exactMatch	1	MP:0005345	abnormal circulating corticosterone level	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal circulating corticosterone level
