# creator_id: orcid:0000-0002-2232-0967
# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   MP: http://purl.obolibrary.org/obo/MP_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   orcid: https://orcid.org/
#   obo: http://purl.obolibrary.org/obo/
#   semapv: https://w3id.org/semapv/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://www.mousephenotype.org
# mapping_set_description: 'The IMPC Mouse Morphology Mappings: Gross Pathology & Tissue
#   Collection Test (Phenotype)'
# mapping_set_id: mp_hp_pat_impc
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
MP:0000005	increased brown fat amount	skos:closeMatch	HP:0000468	Increased adipose tissue around neck	semapv:LogicalReasoning
MP:0000017	big ears	skos:closeMatch	HP:0000400	Macrotia	semapv:LogicalReasoning
MP:0000018	small ears	skos:closeMatch	HP:0008551	Microtia	semapv:LogicalReasoning
MP:0000157	abnormal sternum morphology	skos:closeMatch	HP:0000766	Abnormality of the sternum	semapv:LexicalMatching
MP:0000158	absent sternum	skos:closeMatch	HP:0010308	Asternia	semapv:LogicalReasoning
MP:0000266	abnormal heart morphology	skos:closeMatch	HP:0001654	Abnormal heart morphology	semapv:LexicalMatching
MP:0000274	enlarged heart	skos:closeMatch	HP:0001640	Cardiomegaly	semapv:LogicalReasoning
MP:0000467	abnormal esophagus morphology	skos:closeMatch	HP:0002031	Abnormal esophagus morphology	semapv:LexicalMatching
MP:0000470	abnormal stomach morphology	skos:closeMatch	HP:0002577	Abnormality of the stomach	semapv:LogicalReasoning
MP:0000492	abnormal rectum morphology	skos:closeMatch	HP:0002034	Abnormality of the rectum	semapv:LexicalMatching
MP:0000493	rectal prolapse	skos:closeMatch	HP:0002035	Rectal prolapse	semapv:LexicalMatching
MP:0000494	abnormal cecum morphology	skos:closeMatch	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration
MP:0000495	abnormal colon morphology	skos:closeMatch	HP:0002250	Abnormal large intestine morphology	semapv:LexicalMatching
MP:0000498	absent jejunum	skos:closeMatch	HP:0005235	Jejunal atresia	semapv:LogicalReasoning
MP:0000499	absent ileum	skos:closeMatch	HP:0011102	Ileal atresia	semapv:LogicalReasoning
MP:0000538	abnormal urinary bladder morphology	skos:closeMatch	HP:0025487	Abnormality of bladder morphology	semapv:LexicalMatching
MP:0000558	abnormal tibia morphology	skos:closeMatch	HP:0002992	Abnormality of tibia morphology	semapv:LexicalMatching
MP:0000559	abnormal femur morphology	skos:closeMatch	HP:0002823	Abnormality of femur morphology	semapv:LexicalMatching
MP:0000598	abnormal liver morphology	skos:closeMatch	HP:0410042	Abnormal liver morphology	semapv:LexicalMatching
MP:0000599	enlarged liver	skos:closeMatch	HP:0002240	Hepatomegaly	semapv:LogicalReasoning
MP:0000601	small liver	skos:closeMatch	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration
MP:0000613	abnormal salivary gland morphology	skos:closeMatch	HP:0010286	Abnormal salivary gland morphology	semapv:LexicalMatching
MP:0000614	absent salivary gland	skos:closeMatch	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration
MP:0000618	small salivary gland	skos:closeMatch	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration
MP:0000627	abnormal mammary gland morphology	skos:closeMatch	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration
MP:0000629	absent mammary gland	skos:closeMatch	HP:0100783	Breast aplasia	semapv:LogicalReasoning
MP:0000633	abnormal pituitary gland morphology	skos:closeMatch	HP:0012503	Abnormality of the pituitary gland	semapv:LexicalMatching
MP:0000636	enlarged pituitary gland	skos:closeMatch	HP:0012505	Enlarged pituitary gland	semapv:LexicalMatching
MP:0000639	abnormal adrenal gland morphology	skos:closeMatch	HP:0011732	Abnormality of adrenal morphology	semapv:LexicalMatching
MP:0000642	enlarged adrenal glands	skos:closeMatch	HP:0008221	Adrenal hyperplasia	semapv:LexicalMatching
MP:0000681	abnormal thyroid gland morphology	skos:closeMatch	HP:0011772	Abnormality of thyroid morphology	semapv:LexicalMatching
MP:0000689	abnormal spleen morphology	skos:closeMatch	HP:0025408	Abnormal spleen morphology	semapv:LexicalMatching
MP:0000690	absent spleen	skos:closeMatch	HP:0001746	Asplenia	semapv:LogicalReasoning
MP:0000691	enlarged spleen	skos:closeMatch	HP:0001744	Splenomegaly	semapv:LogicalReasoning
MP:0000692	small spleen	skos:closeMatch	HP:0006270	Hypoplastic spleen	semapv:LogicalReasoning
MP:0000702	enlarged lymph nodes	skos:closeMatch	HP:0002716	Lymphadenopathy	semapv:LogicalReasoning
MP:0000703	abnormal thymus morphology	skos:closeMatch	HP:0000777	Abnormality of the thymus	semapv:LexicalMatching
MP:0000705	athymia	skos:closeMatch	HP:0005359	Aplasia of the thymus	semapv:LogicalReasoning
MP:0000706	small thymus	skos:closeMatch	HP:0000778	Hypoplasia of the thymus	semapv:LogicalReasoning
MP:0000709	enlarged thymus	skos:closeMatch	HP:0010516	Thymus hyperplasia	semapv:LogicalReasoning
MP:0000759	abnormal skeletal muscle morphology	skos:closeMatch	HP:0011805	Abnormal skeletal muscle morphology	semapv:LexicalMatching
MP:0000762	abnormal tongue morphology	skos:closeMatch	HP:0030809	Abnormal tongue morphology	semapv:LexicalMatching
MP:0000774	decreased brain size	skos:closeMatch	HP:0007058	Generalized cerebral atrophy/hypoplasia	semapv:LogicalReasoning
MP:000095	abnormal spinal cord morphology	skos:closeMatch	HP:0002143	Abnormality of the spinal cord	semapv:LexicalMatching
MP:0001092	abnormal trigeminal ganglion morphology	skos:closeMatch	HP:0410016	Abnormality of cranial ganglion	semapv:LexicalMatching
MP:0001093	small trigeminal ganglion	skos:closeMatch	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration
MP:0001095	enlarged trigeminal ganglion	skos:closeMatch	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration
MP:0001102	abnormal uterus morphology	skos:closeMatch	HP:0031105	Abnormal uterus morphology	semapv:LexicalMatching
MP:0001126	abnormal ovary morphology	skos:closeMatch	HP:0031065	Abnormal ovarian morphology	semapv:LexicalMatching
MP:0001127	small ovary	skos:closeMatch	HP:0009724	Hypoplasia of the ovary	semapv:LogicalReasoning
MP:0001146	abnormal testis morphology	skos:closeMatch	HP:0000035	Abnormal testis morphology	semapv:LexicalMatching
MP:0001147	small testis	skos:closeMatch	HP:0008734	Decreased testicular size	semapv:LogicalReasoning
MP:0001148	enlarged testes	skos:closeMatch	HP:0000053	Macroorchidism	semapv:LogicalReasoning
MP:0001157	small seminal vesicle	skos:closeMatch	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration
MP:0001158	abnormal prostate gland morphology	skos:closeMatch	HP:0008775	Abnormal prostate morphology	semapv:LexicalMatching
MP:0001159	absent prostate gland	skos:closeMatch	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration
MP:0001175	abnormal lung morphology	skos:closeMatch	HP:0002088	Abnormal lung morphology	semapv:LexicalMatching
