# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   MP: http://purl.obolibrary.org/obo/MP_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   wikidata: https://www.wikidata.org/wiki/
#   obo: http://purl.obolibrary.org/obo/
#   semapv: https://w3id.org/semapv/vocab/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://www.pistoiaalliance.org/projects/current-projects/ontologies-mapping/
# mapping_set_description: 'The Pistoia Ontology Mappings: mp_hp'
# mapping_set_id: mp_hp_pistoia
# object_source: obo:hp
# subject_source: obo:mp
subject_id	predicate_id	object_id	mapping_justification	confidence
MP:0000003	owl:equivalentClass	HP:0009124	semapv:UnspecifiedMatching	0.75
MP:0000015	owl:equivalentClass	HP:0001000	semapv:UnspecifiedMatching	0.22826
MP:0000018	owl:equivalentClass	HP:0008551	semapv:UnspecifiedMatching	0.75
MP:0000021	owl:equivalentClass	HP:0000411	semapv:UnspecifiedMatching	0.75
MP:0000031	owl:equivalentClass	HP:0000375	semapv:UnspecifiedMatching	0.75
MP:0000032	owl:equivalentClass	HP:0005102	semapv:UnspecifiedMatching	0.75
MP:0000036	owl:equivalentClass	HP:0011381	semapv:UnspecifiedMatching	0.2450975
MP:0000040	owl:equivalentClass	HP:0009910	semapv:UnspecifiedMatching	0.75
MP:0000045	owl:equivalentClass	HP:0025461	semapv:UnspecifiedMatching	0.226415
MP:0000062	owl:equivalentClass	HP:0011001	semapv:UnspecifiedMatching	0.75
MP:0000063	owl:equivalentClass	HP:0004349	semapv:UnspecifiedMatching	0.75
MP:0000066	owl:equivalentClass	HP:0000939	semapv:UnspecifiedMatching	0.75
MP:0000067	owl:equivalentClass	HP:0011002	semapv:UnspecifiedMatching	0.75
MP:0000069	owl:equivalentClass	HP:0002751	semapv:UnspecifiedMatching	0.75
MP:0000081	owl:equivalentClass	HP:0001363	semapv:UnspecifiedMatching	0.235295
MP:0000085	owl:equivalentClass	HP:0000260	semapv:UnspecifiedMatching	0.75
MP:0000087	owl:equivalentClass	HP:0009939	semapv:UnspecifiedMatching	0.75
MP:0000102	owl:equivalentClass	HP:0005105	semapv:UnspecifiedMatching	0.2272725
MP:0000103	owl:equivalentClass	HP:0004646	semapv:UnspecifiedMatching	0.75
MP:0000108	owl:equivalentClass	HP:0100629	semapv:UnspecifiedMatching	0.75
MP:0000111	owl:equivalentClass	HP:0000175	semapv:UnspecifiedMatching	0.75
MP:0000114	owl:equivalentClass	HP:0400001	semapv:UnspecifiedMatching	0.75
MP:0000120	owl:equivalentClass	HP:0000689	semapv:UnspecifiedMatching	0.75
MP:0000121	owl:equivalentClass	HP:0000706	semapv:UnspecifiedMatching	0.23585
MP:0000122	owl:equivalentClass	HP:0006288	semapv:UnspecifiedMatching	0.75
MP:0000130	owl:equivalentClass	HP:0100671	semapv:UnspecifiedMatching	0.75
MP:0000137	owl:equivalentClass	HP:0003468	semapv:UnspecifiedMatching	0.24138
MP:0000138	owl:equivalentClass	HP:0008465	semapv:UnspecifiedMatching	0.75
MP:0000141	owl:equivalentClass	HP:0003468	semapv:UnspecifiedMatching	0.2301575
