# creator_id: https://orcid.org/0000-0002-2232-0967
# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   MP: http://purl.obolibrary.org/obo/MP_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://www.mousephenotype.org
# mapping_set_description: 'The IMPC Mouse Morphology Mappings: X-ray Test'
# mapping_set_id: mp_hp_xry_impc
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	reviewer_id
MP:0000137	abnormal vertebrae morphology	skos:closeMatch	HP:0003468	Abnormal vertebral morphology	semapv:LexicalMatching	
MP:0000149	abnormal scapula morphology	skos:closeMatch	HP:0000782	Abnormality of the scapula	semapv:LexicalMatching	
MP:0000150	abnormal rib morphology	skos:closeMatch	HP:0001547	Abnormality of the rib cage	semapv:LogicalReasoning	
MP:0000154	rib fusion	skos:closeMatch	HP:0000902	Rib fusion	semapv:LexicalMatching	
MP:0000160	kyphosis	skos:closeMatch	HP:0002808	Kyphosis	semapv:LexicalMatching	
MP:0000161	scoliosis	skos:closeMatch	HP:0002650	Scoliosis	semapv:LexicalMatching	
MP:0000162	lordosis	skos:closeMatch	HP:0002938	Lumbar hyperlordosis	semapv:LogicalReasoning	
MP:0000438	abnormal cranium morphology	skos:closeMatch	HP:0002648	Abnormality of calvarial morphology	semapv:LexicalMatching	
MP:0000455	abnormal maxilla morphology	skos:closeMatch	HP:0000326	Abnormality of the maxilla	semapv:LexicalMatching	
MP:0000458	abnormal mandible morphology	skos:closeMatch	HP:0000277	Abnormality of the mandible	semapv:LexicalMatching	
MP:0000480	increased rib number	skos:closeMatch	sssom:NoTermFound	No term found	semapv:ManualMappingCuration	
MP:0000480	increased rib number	skos:closeMatch	sssom:NoTermFound	No term found	semapv:ManualMappingCuration	
MP:0000552	abnormal radius morphology	skos:closeMatch	HP:0045009	Abnormal morphology of the radius	semapv:LexicalMatching	
MP:0000558	abnormal tibia morphology	skos:closeMatch	HP:0002992	Abnormality of tibia morphology	semapv:LexicalMatching	
MP:0000559	abnormal femur morphology	skos:closeMatch	HP:0002823	Abnormality of femur morphology	semapv:LexicalMatching	
MP:0000562	polydactyly	skos:closeMatch	HP:0010442	Polydactyly	semapv:LexicalMatching	
MP:0000564	syndactyly	skos:closeMatch	HP:0001159	Syndactyly	semapv:LexicalMatching	
MP:0000565	oligodactyly	skos:closeMatch	HP:0012165	Oligodactyly	semapv:LexicalMatching	
