# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   orphanet.ordo: http://www.orpha.net/ORDO/Orphanet_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   wikidata: https://www.wikidata.org/wiki/
#   obo: http://purl.obolibrary.org/obo/
#   semapv: https://w3id.org/semapv/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://www.pistoiaalliance.org/projects/current-projects/ontologies-mapping/
# mapping_set_description: 'The Pistoia Ontology Mappings: ordo_doid'
# mapping_set_id: ordo_doid_pistoia
# object_source: obo:doid
# subject_source: wikidata:Q24254958
subject_id	predicate_id	object_id	mapping_justification	confidence
orphanet.ordo:100	owl:equivalentClass	DOID:12704	semapv:UnspecifiedMatching	0.363095
orphanet.ordo:100002	owl:equivalentClass	DOID:4696	semapv:UnspecifiedMatching	0.2291675
orphanet.ordo:100003	owl:equivalentClass	DOID:4696	semapv:UnspecifiedMatching	0.875
orphanet.ordo:100011	owl:equivalentClass	DOID:0060278	semapv:UnspecifiedMatching	0.23375
orphanet.ordo:100012	owl:equivalentClass	DOID:0060278	semapv:UnspecifiedMatching	0.23375
orphanet.ordo:100013	owl:equivalentClass	DOID:0060278	semapv:UnspecifiedMatching	0.23375
orphanet.ordo:100014	owl:equivalentClass	DOID:0060278	semapv:UnspecifiedMatching	0.23375
orphanet.ordo:100015	owl:equivalentClass	DOID:0060278	semapv:UnspecifiedMatching	0.23375
orphanet.ordo:100016	owl:equivalentClass	DOID:0060278	semapv:UnspecifiedMatching	0.23375
orphanet.ordo:100022	owl:equivalentClass	DOID:3720	semapv:UnspecifiedMatching	0.329545
orphanet.ordo:100024	owl:equivalentClass	DOID:0060125	semapv:UnspecifiedMatching	0.3567075
orphanet.ordo:100026	owl:equivalentClass	DOID:0060125	semapv:UnspecifiedMatching	0.34091
orphanet.ordo:100031	owl:equivalentClass	DOID:0110059	semapv:UnspecifiedMatching	0.3522725
orphanet.ordo:100032	owl:equivalentClass	DOID:0110065	semapv:UnspecifiedMatching	0.325
orphanet.ordo:100033	owl:equivalentClass	DOID:0110063	semapv:UnspecifiedMatching	0.34853
orphanet.ordo:100034	owl:equivalentClass	DOID:0110053	semapv:UnspecifiedMatching	0.366135
orphanet.ordo:100043	owl:equivalentClass	DOID:0110202	semapv:UnspecifiedMatching	1.0
orphanet.ordo:100044	owl:equivalentClass	DOID:0110197	semapv:UnspecifiedMatching	0.4679474999999999
orphanet.ordo:100045	owl:equivalentClass	DOID:0110199	semapv:UnspecifiedMatching	1.0
orphanet.ordo:100046	owl:equivalentClass	DOID:0110200	semapv:UnspecifiedMatching	1.0
orphanet.ordo:100050	owl:equivalentClass	DOID:14735	semapv:UnspecifiedMatching	0.339285
orphanet.ordo:100051	owl:equivalentClass	DOID:14735	semapv:UnspecifiedMatching	0.339285
orphanet.ordo:100054	owl:equivalentClass	DOID:14735	semapv:UnspecifiedMatching	0.339285
orphanet.ordo:100067	owl:equivalentClass	DOID:9931	semapv:UnspecifiedMatching	0.875
orphanet.ordo:100073	owl:equivalentClass	DOID:3103	semapv:UnspecifiedMatching	0.3283899999999999
orphanet.ordo:100077	owl:equivalentClass	DOID:5545	semapv:UnspecifiedMatching	0.226415
orphanet.ordo:100078	owl:equivalentClass	DOID:5545	semapv:UnspecifiedMatching	0.22549
