#creator_id: https://orcid.org/0000-0002-7356-1779
#curie_map:
#  HP: http://purl.obolibrary.org/obo/HP_
#  MP: http://purl.obolibrary.org/obo/MP_
#  skos: http://www.w3.org/2004/02/skos/core
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: https://www.pistoiaalliance.org/projects/current-projects/ontologies-mapping/
#mapping_set_group: pistoia_mappings
#mapping_set_id: ordo_doid_pistoia
#mapping_set_title: 'The Pistoia Ontology Mappings: ORDO-DOID'
#object_source: http://purl.obolibrary.org/doid.owl
#subject_source: http://purl.obolibrary.org/ordo.owl
subject_id	predicate_id	object_id	confidence
ORPHA:309789	owl:equivalentClass	DOID:0110851	1.0
ORPHA:177	owl:equivalentClass	DOID:2580	1.0
ORPHA:309796	owl:equivalentClass	DOID:0110852	1.0
ORPHA:261272	owl:equivalentClass	DOID:0060433	1.0
ORPHA:261279	owl:equivalentClass	DOID:0060405	1.0
ORPHA:261265	owl:equivalentClass	DOID:0060404	1.0
ORPHA:104	owl:equivalentClass	DOID:705	1.0
ORPHA:54260	owl:equivalentClass	DOID:0060480	1.0
ORPHA:97244	owl:equivalentClass	DOID:0110633	1.0
ORPHA:119	owl:equivalentClass	DOID:0110279	1.0
ORPHA:102015	owl:equivalentClass	DOID:0110274	1.0
ORPHA:116	owl:equivalentClass	DOID:5572	1.0
ORPHA:97120	owl:equivalentClass	DOID:0050646	1.0
ORPHA:289902	owl:equivalentClass	DOID:0060336	1.0
ORPHA:110	owl:equivalentClass	DOID:1935	1.0
ORPHA:3459	owl:equivalentClass	DOID:0060814	1.0
ORPHA:777	owl:equivalentClass	DOID:0050776	1.0
ORPHA:98994	owl:equivalentClass	DOID:0110267	1.0
ORPHA:88616	owl:equivalentClass	DOID:0060308	1.0
ORPHA:127	owl:equivalentClass	DOID:0050681	1.0
ORPHA:125	owl:equivalentClass	DOID:2717	1.0
ORPHA:138	owl:equivalentClass	DOID:0050834	1.0
ORPHA:137	owl:equivalentClass	DOID:5212	1.0
ORPHA:144	owl:equivalentClass	DOID:3883	1.0
ORPHA:319199	owl:equivalentClass	DOID:0110805	1.0
ORPHA:1334	owl:equivalentClass	DOID:2058	1.0
ORPHA:97249	owl:equivalentClass	DOID:0060272	1.0
ORPHA:91495	owl:equivalentClass	DOID:0060282	1.0
ORPHA:79145	owl:equivalentClass	DOID:0060256	1.0
ORPHA:261222	owl:equivalentClass	DOID:0060398	1.0
ORPHA:65	owl:equivalentClass	DOID:14791	1.0
ORPHA:90025	owl:equivalentClass	DOID:11193	1.0
ORPHA:199343	owl:equivalentClass	DOID:0060484	1.0
ORPHA:705	owl:equivalentClass	DOID:0060744	1.0
ORPHA:3449	owl:equivalentClass	DOID:0050475	1.0
ORPHA:282	owl:equivalentClass	DOID:9255	1.0
ORPHA:261211	owl:equivalentClass	DOID:0060400	1.0
ORPHA:84	owl:equivalentClass	DOID:13636	1.0
ORPHA:53351	owl:equivalentClass	DOID:0090057	1.0
ORPHA:791	owl:equivalentClass	DOID:10584	1.0
ORPHA:157820	owl:equivalentClass	DOID:0060294	1.0
ORPHA:189439	owl:equivalentClass	DOID:0060280	1.0
ORPHA:93474	owl:equivalentClass	DOID:0060222	1.0
ORPHA:157	owl:equivalentClass	DOID:0060235	1.0
ORPHA:150	owl:equivalentClass	DOID:9261	1.0
ORPHA:34520	owl:equivalentClass	DOID:0110639	1.0
ORPHA:309803	owl:equivalentClass	DOID:0110853	1.0
ORPHA:171	owl:equivalentClass	DOID:0060643	1.0
ORPHA:191	owl:equivalentClass	DOID:2962	1.0
ORPHA:1947	owl:equivalentClass	DOID:0110724	1.0
ORPHA:216	owl:equivalentClass	DOID:14503	1.0
ORPHA:774	owl:equivalentClass	DOID:1270	1.0
ORPHA:352675	owl:equivalentClass	DOID:0110207	1.0
ORPHA:352670	owl:equivalentClass	DOID:0110206	1.0
ORPHA:187	owl:equivalentClass	DOID:9273	1.0
ORPHA:238468	owl:equivalentClass	DOID:14793	1.0
ORPHA:199	owl:equivalentClass	DOID:11725	1.0
ORPHA:209	owl:equivalentClass	DOID:3144	1.0
ORPHA:3208	owl:equivalentClass	DOID:0060537	1.0
ORPHA:1906	owl:equivalentClass	DOID:0060471	1.0
ORPHA:3047	owl:equivalentClass	DOID:0060290	1.0
ORPHA:648	owl:equivalentClass	DOID:3490	1.0
ORPHA:69665	owl:equivalentClass	DOID:1852	1.0
ORPHA:99798	owl:equivalentClass	DOID:0050591	1.0
ORPHA:447896	owl:equivalentClass	DOID:0060794	1.0
ORPHA:447893	owl:equivalentClass	DOID:0060794	1.0
ORPHA:457	owl:equivalentClass	DOID:0060713	1.0
ORPHA:352328	owl:equivalentClass	DOID:0110001	1.0
ORPHA:261183	owl:equivalentClass	DOID:0060393	1.0
ORPHA:223	owl:equivalentClass	DOID:12387	1.0
ORPHA:67046	owl:equivalentClass	DOID:0110002	1.0
ORPHA:251	owl:equivalentClass	DOID:12721	1.0
ORPHA:1293	owl:equivalentClass	DOID:0050690	1.0
ORPHA:199332	owl:equivalentClass	DOID:0060641	1.0
ORPHA:31043	owl:equivalentClass	DOID:0060880	1.0
ORPHA:2733	owl:equivalentClass	DOID:0060288	1.0
ORPHA:261120	owl:equivalentClass	DOID:0060392	1.0
ORPHA:67047	owl:equivalentClass	DOID:0110004	1.0
ORPHA:67048	owl:equivalentClass	DOID:0110006	1.0
ORPHA:231692	owl:equivalentClass	DOID:0060875	1.0
ORPHA:85	owl:equivalentClass	DOID:1338	1.0
ORPHA:79213	owl:equivalentClass	DOID:12798	1.0
ORPHA:67042	owl:equivalentClass	DOID:0060869	1.0
ORPHA:320385	owl:equivalentClass	DOID:0110801	1.0
ORPHA:320411	owl:equivalentClass	DOID:0110808	1.0
ORPHA:320380	owl:equivalentClass	DOID:0110806	1.0
ORPHA:67038	owl:equivalentClass	DOID:1040	1.0
ORPHA:92050	owl:equivalentClass	DOID:0060776	1.0
ORPHA:1775	owl:equivalentClass	DOID:2729	1.0
ORPHA:98306	owl:equivalentClass	DOID:0050440	1.0
