# curie_map:
#   MP: http://purl.obolibrary.org/obo/MP_
#   orphanet.ordo: http://www.orpha.net/ORDO/Orphanet_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://www.pistoiaalliance.org/projects/current-projects/ontologies-mapping/
# mapping_set_description: 'The Pistoia Ontology Mappings: ordo_mp'
# mapping_set_id: ordo_mp_pistoia
# object_source: http://purl.obolibrary.org/mp.owl
# subject_source: http://purl.obolibrary.org/ordo.owl
subject_id	predicate_id	object_id	mapping_justification	confidence
orphanet.ordo:101023	owl:equivalentClass	MP:0013545	semapv:UnspecifiedMatching	0.75
orphanet.ordo:101043	owl:equivalentClass	MP:0002747	semapv:UnspecifiedMatching	0.75
orphanet.ordo:101063	owl:equivalentClass	MP:0011252	semapv:UnspecifiedMatching	0.75
orphanet.ordo:1041	owl:equivalentClass	MP:0002192	semapv:UnspecifiedMatching	0.75
orphanet.ordo:105	owl:equivalentClass	MP:0003591	semapv:UnspecifiedMatching	0.2272725
orphanet.ordo:1054	owl:equivalentClass	MP:0010483	semapv:UnspecifiedMatching	0.2363625
orphanet.ordo:1077	owl:equivalentClass	MP:0030449	semapv:UnspecifiedMatching	0.75
orphanet.ordo:1138	owl:equivalentClass	MP:0013980	semapv:UnspecifiedMatching	0.2253525
orphanet.ordo:1160	owl:equivalentClass	MP:0012080	semapv:UnspecifiedMatching	0.75
orphanet.ordo:118246	owl:equivalentClass	MP:0001326	semapv:UnspecifiedMatching	0.238095
orphanet.ordo:1199	owl:equivalentClass	MP:0003276	semapv:UnspecifiedMatching	0.75
orphanet.ordo:1203	owl:equivalentClass	MP:0003272	semapv:UnspecifiedMatching	0.75
orphanet.ordo:123411	owl:equivalentClass	MP:0005638	semapv:UnspecifiedMatching	0.75
orphanet.ordo:137914	owl:equivalentClass	MP:0008970	semapv:UnspecifiedMatching	0.75
orphanet.ordo:141163	owl:equivalentClass	MP:0030328	semapv:UnspecifiedMatching	0.75
orphanet.ordo:141229	owl:equivalentClass	MP:0008797	semapv:UnspecifiedMatching	0.75
orphanet.ordo:141253	owl:equivalentClass	MP:0008799	semapv:UnspecifiedMatching	0.75
orphanet.ordo:141269	owl:equivalentClass	MP:0008798	semapv:UnspecifiedMatching	0.75
orphanet.ordo:1457	owl:equivalentClass	MP:0003387	semapv:UnspecifiedMatching	0.75
orphanet.ordo:1463	owl:equivalentClass	MP:0010409	semapv:UnspecifiedMatching	0.75
orphanet.ordo:1464	owl:equivalentClass	MP:0010432	semapv:UnspecifiedMatching	0.75
orphanet.ordo:1531	owl:equivalentClass	MP:0000081	semapv:UnspecifiedMatching	0.75
orphanet.ordo:155878	owl:equivalentClass	MP:0011615	semapv:UnspecifiedMatching	0.75
orphanet.ordo:156207	owl:equivalentClass	MP:0009906	semapv:UnspecifiedMatching	0.75
orphanet.ordo:157769	owl:equivalentClass	MP:0002767	semapv:UnspecifiedMatching	0.75
orphanet.ordo:166415	owl:equivalentClass	MP:0001496	semapv:UnspecifiedMatching	0.75
