subject_id	subject_label	object_id	object_label	mapping_justification	predicate_id	reviewer_id
MP:0001260	increased body weight	HP:0004324	Increased body weight	semapv:LexicalMatching	skos:exactMatch	orcid:0000-0002-7356-1779
MP:0001262	decreased body weight	HP:0004325	Decreased body weight	semapv:LexicalMatching	skos:exactMatch	orcid:0000-0002-7356-1779
MP:0001259	abnormal body weight	HP:0004323	Abnormality of body weight	semapv:LexicalMatching	skos:exactMatch	orcid:0000-0002-7356-1779
MP:0004952	increased spleen weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004953	decreased spleen weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004951	abnormal spleen weight	HP:0001743	Abnormality of the spleen	semapv:LogicalReasoning	skos:narrowMatch	orcid:0000-0002-7356-1779
MP:0003917	increased kidney weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0003918	decreased kidney weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0002707	abnormal kidney weight	HP:0000077	Abnormality of the kidney	semapv:LogicalReasoning	skos:closeMatch	
MP:0003917	increased kidney weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0003918	decreased kidney weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0002707	abnormal kidney weight	HP:0000077	Abnormality of the kidney	semapv:LogicalReasoning	skos:closeMatch	
MP:0004928	increased epididymis weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004929	decreased epididymis weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004927	abnormal epididymis weight	HP:0009714	Abnormality of the epididymis	semapv:LogicalReasoning	skos:closeMatch	
MP:0004909	increased seminal vesicle weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004910	decreased seminal vesicle weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004908	abnormal seminal vesicle weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004851	increased testis weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004852	decreased testis weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004850	abnormal testis weight	HP:0000035	Abnormal testis morphology	semapv:LogicalReasoning	skos:closeMatch	
MP:0004851	increased testis weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004852	decreased testis weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004850	abnormal testis weight	HP:0000035	Abnormal testis morphology	semapv:LogicalReasoning	skos:closeMatch	
MP:0002981	increased liver weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0003402	decreased liver weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0004847	abnormal liver weight	HP:0001392	Abnormality of the liver	semapv:LogicalReasoning	skos:closeMatch	
MP:0005630	increased lung weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0005631	decreased lung weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0005629	abnormal lung weight	HP:0002088	Abnormal lung morphology	semapv:LogicalReasoning	skos:closeMatch	
MP:0005630	increased lung weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0005631	decreased lung weight	sssom:NoTermFound	No Term Found	semapv:ManualMappingCuration	skos:closeMatch	
MP:0005629	abnormal lung weight	HP:0002088	Abnormal lung morphology	semapv:LogicalReasoning	skos:closeMatch	
