sourceIRI,mappedIRI,score,sourceLabel,mappedLabel,NormalizedScore
http://purl.obolibrary.org/obo/HP_0002650,http://purl.obolibrary.org/obo/DOID_0060249,4.0,Scoliosis,scoliosis,1.0
http://purl.obolibrary.org/obo/HP_0100026,http://purl.obolibrary.org/obo/DOID_11294,4.0,Arteriovenous malformation,arteriovenous malformation,1.0
http://purl.obolibrary.org/obo/HP_0004818,http://purl.obolibrary.org/obo/DOID_0060284,4.0,Paroxysmal nocturnal hemoglobinuria,paroxysmal nocturnal hemoglobinuria,1.0
http://purl.obolibrary.org/obo/HP_0004840,http://purl.obolibrary.org/obo/DOID_0050642,4.0,Hypochromic microcytic anemia,hypochromic microcytic anemia,1.0
http://purl.obolibrary.org/obo/HP_0000508,http://purl.obolibrary.org/obo/DOID_0060260,4.0,Ptosis,ptosis,1.0
http://purl.obolibrary.org/obo/HP_0002014,http://purl.obolibrary.org/obo/DOID_13250,4.0,Diarrhea,diarrhea,1.0
http://purl.obolibrary.org/obo/HP_0002619,http://purl.obolibrary.org/obo/DOID_799,4.0,Varicose veins,varicose veins,1.0
http://purl.obolibrary.org/obo/HP_0002576,http://purl.obolibrary.org/obo/DOID_8446,4.0,Intussusception,intussusception,1.0
http://purl.obolibrary.org/obo/HP_0100753,http://purl.obolibrary.org/obo/DOID_5419,4.0,Schizophrenia,schizophrenia,1.0
http://purl.obolibrary.org/obo/HP_0100727,http://purl.obolibrary.org/obo/DOID_3405,4.0,Histiocytosis,histiocytosis,1.0
http://purl.obolibrary.org/obo/HP_0002035,http://purl.obolibrary.org/obo/DOID_9307,4.0,Rectal prolapse,rectal prolapse,1.0
http://purl.obolibrary.org/obo/HP_0100825,http://purl.obolibrary.org/obo/DOID_1762,4.0,Cheilitis,cheilitis,1.0
http://purl.obolibrary.org/obo/HP_0002475,http://purl.obolibrary.org/obo/DOID_0060326,4.0,Myelomeningocele,myelomeningocele,1.0
http://purl.obolibrary.org/obo/HP_0002840,http://purl.obolibrary.org/obo/DOID_1602,4.0,Lymphadenitis,lymphadenitis,1.0
http://purl.obolibrary.org/obo/HP_0000175,http://purl.obolibrary.org/obo/DOID_674,4.0,Cleft palate,cleft palate,1.0
