sourceIRI,mappedIRI,score,sourceLabel,mappedLabel,NormalizedScore
http://purl.obolibrary.org/obo/MP_0012051,http://purl.obolibrary.org/obo/HP_0001257,4.0,spasticity,Spasticity,1.0
http://purl.obolibrary.org/obo/MP_0003699,http://purl.obolibrary.org/obo/HP_0030012,3.0,abnormal female reproductive system physiology,Abnormal female reproductive system physiology,0.75
http://purl.obolibrary.org/obo/MP_0006078,http://purl.obolibrary.org/obo/HP_0004404,3.0,abnormal nipple morphology,Abnormal nipple morphology,0.75
http://purl.obolibrary.org/obo/MP_0013547,http://purl.obolibrary.org/obo/HP_0011819,3.0,submucous cleft soft palate,Submucous cleft soft palate,0.75
http://purl.obolibrary.org/obo/MP_0013546,http://purl.obolibrary.org/obo/HP_0000185,3.0,cleft soft palate,Cleft soft palate,0.75
http://purl.obolibrary.org/obo/MP_0013548,http://purl.obolibrary.org/obo/HP_0000176,3.0,submucous cleft hard palate,Submucous cleft hard palate,0.75
http://purl.obolibrary.org/obo/MP_0013545,http://purl.obolibrary.org/obo/HP_0410005,3.0,cleft hard palate,Cleft hard palate,0.75
http://purl.obolibrary.org/obo/MP_0009890,http://purl.obolibrary.org/obo/HP_0410004,3.0,cleft secondary palate,Cleft secondary palate,0.75
http://purl.obolibrary.org/obo/MP_0001431,http://purl.obolibrary.org/obo/HP_0100738,3.0,abnormal eating behavior,Abnormal eating behavior,0.75
http://purl.obolibrary.org/obo/MP_0001433,http://purl.obolibrary.org/obo/HP_0002591,3.0,polyphagia,Polyphagia,0.75
http://purl.obolibrary.org/obo/MP_0002069,http://purl.obolibrary.org/obo/HP_0040202,3.0,abnormal consumption behavior,Abnormal consumption behavior,0.75
http://purl.obolibrary.org/obo/MP_0001426,http://purl.obolibrary.org/obo/HP_0001959,3.0,polydipsia,Polydipsia,0.75
http://purl.obolibrary.org/obo/MP_0001422,http://purl.obolibrary.org/obo/HP_0030082,3.0,abnormal drinking behavior,Abnormal drinking behavior,0.75
http://purl.obolibrary.org/obo/MP_0001429,http://purl.obolibrary.org/obo/HP_0001944,3.0,dehydration,Dehydration,0.75
http://purl.obolibrary.org/obo/MP_0000613,http://purl.obolibrary.org/obo/HP_0010286,3.0,abnormal salivary gland morphology,Abnormal salivary gland morphology,0.75
http://purl.obolibrary.org/obo/MP_0001408,http://purl.obolibrary.org/obo/HP_0000733,3.0,stereotypic behavior,Stereotypy,0.75
http://purl.obolibrary.org/obo/MP_0000436,http://purl.obolibrary.org/obo/HP_0002457,3.0,abnormal head movements,Abnormal head movements,0.75
http://purl.obolibrary.org/obo/MP_0001406,http://purl.obolibrary.org/obo/HP_0001288,3.0,abnormal gait,Gait disturbance,0.75
http://purl.obolibrary.org/obo/MP_0001596,http://purl.obolibrary.org/obo/HP_0002615,3.0,hypotension,Hypotension,0.75
http://purl.obolibrary.org/obo/MP_0001589,http://purl.obolibrary.org/obo/HP_0025546,3.0,abnormal mean corpuscular hemoglobin,Abnormal mean corpuscular hemoglobin,0.75
http://purl.obolibrary.org/obo/MP_0001588,http://purl.obolibrary.org/obo/HP_0011902,3.0,abnormal hemoglobin,Abnormal hemoglobin,0.75
http://purl.obolibrary.org/obo/MP_0002447,http://purl.obolibrary.org/obo/HP_0001877,3.0,abnormal erythrocyte morphology,Abnormal erythrocyte morphology,0.75
http://purl.obolibrary.org/obo/MP_0001585,http://purl.obolibrary.org/obo/HP_0001878,3.0,hemolytic anemia,Hemolytic anemia,0.75
http://purl.obolibrary.org/obo/MP_0001577,http://purl.obolibrary.org/obo/HP_0001903,3.0,anemia,Anemia,0.75
http://purl.obolibrary.org/obo/MP_0001575,http://purl.obolibrary.org/obo/HP_0000961,3.0,cyanosis,Cyanosis,0.75
http://purl.obolibrary.org/obo/MP_0000920,http://purl.obolibrary.org/obo/HP_0012447,3.0,abnormal myelination,Abnormal myelination,0.75
http://purl.obolibrary.org/obo/MP_0001560,http://purl.obolibrary.org/obo/HP_0040215,3.0,abnormal circulating insulin level,Abnormal circulating insulin level,0.75
http://purl.obolibrary.org/obo/MP_0002078,http://purl.obolibrary.org/obo/HP_0011014,3.0,abnormal glucose homeostasis,Abnormal glucose homeostasis,0.75
