sourceIRI,mappedIRI,score,sourceLabel,mappedLabel,NormalizedScore
http://www.orpha.net/ORDO/Orphanet_309789,http://purl.obolibrary.org/obo/DOID_0110851,4.0,Rhizomelic chondrodysplasia punctata type 1,rhizomelic chondrodysplasia punctata type 1,1.0
http://www.orpha.net/ORDO/Orphanet_177,http://purl.obolibrary.org/obo/DOID_2580,4.0,Rhizomelic chondrodysplasia punctata,rhizomelic chondrodysplasia punctata,1.0
http://www.orpha.net/ORDO/Orphanet_309796,http://purl.obolibrary.org/obo/DOID_0110852,4.0,Rhizomelic chondrodysplasia punctata type 2,rhizomelic chondrodysplasia punctata type 2,1.0
http://www.orpha.net/ORDO/Orphanet_261272,http://purl.obolibrary.org/obo/DOID_0060433,4.0,17q12 microduplication syndrome,chromosome 17q12 duplication syndrome,1.0
http://www.orpha.net/ORDO/Orphanet_261279,http://purl.obolibrary.org/obo/DOID_0060405,4.0,17q23.1q23.2 microdeletion syndrome,chromosome 17q23.1-q23.2 deletion syndrome,1.0
http://www.orpha.net/ORDO/Orphanet_261265,http://purl.obolibrary.org/obo/DOID_0060404,4.0,17q12 microdeletion syndrome,chromosome 17q12 deletion syndrome,1.0
http://www.orpha.net/ORDO/Orphanet_104,http://purl.obolibrary.org/obo/DOID_705,4.0,Leber hereditary optic neuropathy,Leber hereditary optic neuropathy,1.0
http://www.orpha.net/ORDO/Orphanet_54260,http://purl.obolibrary.org/obo/DOID_0060480,4.0,Left ventricular noncompaction,left ventricular noncompaction,1.0
http://www.orpha.net/ORDO/Orphanet_97244,http://purl.obolibrary.org/obo/DOID_0110633,4.0,Rigid spine syndrome,rigid spine muscular dystrophy 1,1.0
http://www.orpha.net/ORDO/Orphanet_119,http://purl.obolibrary.org/obo/DOID_0110279,4.0,Autosomal recessive limb-girdle muscular dystrophy type 2E,autosomal recessive limb-girdle muscular dystrophy type 2E,1.0
http://www.orpha.net/ORDO/Orphanet_102015,http://purl.obolibrary.org/obo/DOID_0110274,4.0,Autosomal recessive limb-girdle muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy,1.0
