sourceIRI,mappedIRI,score,sourceLabel,mappedLabel,NormalizedScore
http://www.orpha.net/ORDO/Orphanet_46724,http://purl.obolibrary.org/obo/HP_0002408,4.0,Cerebral arteriovenous malformation,Cerebral arteriovenous malformation,1.0
http://www.orpha.net/ORDO/Orphanet_307141,http://purl.obolibrary.org/obo/HP_0007435,3.5,Diffuse palmoplantar keratoderma,Diffuse palmoplantar keratoderma,0.875
http://www.orpha.net/ORDO/Orphanet_99103,http://purl.obolibrary.org/obo/HP_0001684,3.5,"Atrial septal defect, ostium secundum type",Secundum atrial septal defect,0.875
http://www.orpha.net/ORDO/Orphanet_803,http://purl.obolibrary.org/obo/HP_0007354,3.5,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,0.875
http://www.orpha.net/ORDO/Orphanet_100069,http://purl.obolibrary.org/obo/HP_0030219,3.5,Semantic dementia,Semantic dementia,0.875
http://www.orpha.net/ORDO/Orphanet_97120,http://purl.obolibrary.org/obo/HP_0005684,3.5,Distal arthrogryposis,Distal arthrogryposis,0.875
http://www.orpha.net/ORDO/Orphanet_206966,http://purl.obolibrary.org/obo/HP_0003737,3.5,Mitochondrial myopathy,Mitochondrial myopathy,0.875
http://www.orpha.net/ORDO/Orphanet_131,http://purl.obolibrary.org/obo/HP_0002639,3.5,Budd-Chiari syndrome,Budd-Chiari syndrome,0.875
http://www.orpha.net/ORDO/Orphanet_100088,http://purl.obolibrary.org/obo/HP_0002890,3.5,Thyroid carcinoma,Thyroid carcinoma,0.875
http://www.orpha.net/ORDO/Orphanet_142,http://purl.obolibrary.org/obo/HP_0011779,3.5,Anaplastic thyroid carcinoma,Anaplastic thyroid carcinoma,0.875
http://www.orpha.net/ORDO/Orphanet_1334,http://purl.obolibrary.org/obo/HP_0002728,3.5,Chronic mucocutaneous candidiasis,Chronic mucocutaneous candidiasis,0.875
http://www.orpha.net/ORDO/Orphanet_91495,http://purl.obolibrary.org/obo/HP_0007968,3.5,Persistent hyperplastic primary vitreous,Remnants of the hyaloid vascular system,0.875
http://www.orpha.net/ORDO/Orphanet_79358,http://purl.obolibrary.org/obo/HP_0200044,3.5,Porokeratosis,Porokeratosis,0.875
http://www.orpha.net/ORDO/Orphanet_251899,http://purl.obolibrary.org/obo/HP_0030392,3.5,Choroid plexus carcinoma,Choroid plexus carcinoma,0.875
http://www.orpha.net/ORDO/Orphanet_282,http://purl.obolibrary.org/obo/HP_0002145,3.5,Frontotemporal dementia,Frontotemporal dementia,0.875
http://www.orpha.net/ORDO/Orphanet_79128,http://purl.obolibrary.org/obo/HP_0006527,3.5,Lymphoid interstitial pneumonia,Lymphoid interstitial pneumonia,0.875
http://www.orpha.net/ORDO/Orphanet_791,http://purl.obolibrary.org/obo/HP_0000510,3.5,Retinitis pigmentosa,Rod-cone dystrophy,0.875
http://www.orpha.net/ORDO/Orphanet_98375,http://purl.obolibrary.org/obo/HP_0001890,3.5,Autoimmune hemolytic anemia,Autoimmune hemolytic anemia,0.875
http://www.orpha.net/ORDO/Orphanet_98823,http://purl.obolibrary.org/obo/HP_0012325,3.5,Chronic myelomonocytic leukemia,Chronic myelomonocytic leukemia,0.875
http://www.orpha.net/ORDO/Orphanet_2665,http://purl.obolibrary.org/obo/HP_0100881,3.5,Congenital mesoblastic nephroma,Congenital mesoblastic nephroma,0.875
http://www.orpha.net/ORDO/Orphanet_189,http://purl.obolibrary.org/obo/HP_0007529,3.5,Hidrotic ectodermal dysplasia,Hidrotic ectodermal dysplasia,0.875
http://www.orpha.net/ORDO/Orphanet_185,http://purl.obolibrary.org/obo/HP_0011626,3.5,Scimitar syndrome,Scimitar anomaly,0.875
http://www.orpha.net/ORDO/Orphanet_238468,http://purl.obolibrary.org/obo/HP_0007607,3.5,Hypohidrotic ectodermal dysplasia,Hypohidrotic ectodermal dysplasia,0.875
http://www.orpha.net/ORDO/Orphanet_223,http://purl.obolibrary.org/obo/HP_0009806,3.5,Nephrogenic diabetes insipidus,Nephrogenic diabetes insipidus,0.875
http://www.orpha.net/ORDO/Orphanet_251,http://purl.obolibrary.org/obo/HP_0002654,3.5,Multiple epiphyseal dysplasia,Multiple epiphyseal dysplasia,0.875
http://www.orpha.net/ORDO/Orphanet_319298,http://purl.obolibrary.org/obo/HP_0006766,3.5,Papillary renal cell carcinoma,Papillary renal cell carcinoma,0.875
http://www.orpha.net/ORDO/Orphanet_217071,http://purl.obolibrary.org/obo/HP_0005584,3.5,Renal cell carcinoma,Renal cell carcinoma,0.875
http://www.orpha.net/ORDO/Orphanet_85,http://purl.obolibrary.org/obo/HP_0004810,3.5,Congenital dyserythropoietic anemia,Congenital hypoplastic anemia,0.875
http://www.orpha.net/ORDO/Orphanet_71862,http://purl.obolibrary.org/obo/HP_0000556,3.5,Retinal dystrophy,Retinal dystrophy,0.875
http://www.orpha.net/ORDO/Orphanet_93388,http://purl.obolibrary.org/obo/HP_0009371,3.5,Brachydactyly type A1,Type A1 brachydactyly,0.875
http://www.orpha.net/ORDO/Orphanet_93384,http://purl.obolibrary.org/obo/HP_0009373,3.5,Brachydactyly type C,Type C brachydactyly,0.875
http://www.orpha.net/ORDO/Orphanet_93396,http://purl.obolibrary.org/obo/HP_0009372,3.5,Brachydactyly type A2,Type A2 brachydactyly,0.875
http://www.orpha.net/ORDO/Orphanet_155899,http://purl.obolibrary.org/obo/HP_0005321,3.5,Mandibulofacial dysostosis,Mandibulofacial dysostosis,0.875
http://www.orpha.net/ORDO/Orphanet_1851,http://purl.obolibrary.org/obo/HP_0000003,3.5,Multicystic dysplastic kidney,Multicystic kidney dysplasia,0.875
http://www.orpha.net/ORDO/Orphanet_521,http://purl.obolibrary.org/obo/HP_0005506,3.5,Chronic myeloid leukemia,Chronic myelogenous leukemia,0.875
http://www.orpha.net/ORDO/Orphanet_263,http://purl.obolibrary.org/obo/HP_0006785,3.5,Limb-girdle muscular dystrophy,Limb-girdle muscular dystrophy,0.875
http://www.orpha.net/ORDO/Orphanet_360,http://purl.obolibrary.org/obo/HP_0012174,3.5,Glioblastoma,Glioblastoma multiforme,0.875
http://www.orpha.net/ORDO/Orphanet_654,http://purl.obolibrary.org/obo/HP_0002667,3.5,Nephroblastoma,Nephroblastoma,0.875
http://www.orpha.net/ORDO/Orphanet_102009,http://purl.obolibrary.org/obo/HP_0006818,3.5,Classic lissencephaly,Type I lissencephaly,0.875
http://www.orpha.net/ORDO/Orphanet_29073,http://purl.obolibrary.org/obo/HP_0006775,3.5,Multiple myeloma,Multiple myeloma,0.875
http://www.orpha.net/ORDO/Orphanet_1531,http://purl.obolibrary.org/obo/HP_0001363,3.5,Craniosynostosis,Craniosynostosis,0.875
http://www.orpha.net/ORDO/Orphanet_167848,http://purl.obolibrary.org/obo/HP_0001638,3.5,Cardiomyopathy,Cardiomyopathy,0.875
http://www.orpha.net/ORDO/Orphanet_251912,http://purl.obolibrary.org/obo/HP_0030407,3.5,Pineocytoma,Pineocytoma,0.875
http://www.orpha.net/ORDO/Orphanet_520,http://purl.obolibrary.org/obo/HP_0004836,3.5,Acute promyelocytic leukemia,Acute promyelocytic leukemia,0.875
http://www.orpha.net/ORDO/Orphanet_295034,http://purl.obolibrary.org/obo/HP_0005191,3.5,Congenital knee dislocation,Congenital knee dislocation,0.875
http://www.orpha.net/ORDO/Orphanet_178029,http://purl.obolibrary.org/obo/HP_0000863,3.5,Central diabetes insipidus,Central diabetes insipidus,0.875
http://www.orpha.net/ORDO/Orphanet_519,http://purl.obolibrary.org/obo/HP_0004808,3.5,Acute myeloid leukemia,Acute myeloid leukemia,0.875
http://www.orpha.net/ORDO/Orphanet_517,http://purl.obolibrary.org/obo/HP_0004820,3.5,Acute myelomonocytic leukemia,Acute myelomonocytic leukemia,0.875
http://www.orpha.net/ORDO/Orphanet_514,http://purl.obolibrary.org/obo/HP_0004845,3.5,Acute monoblastic leukemia,Acute monocytic leukemia,0.875
http://www.orpha.net/ORDO/Orphanet_547,http://purl.obolibrary.org/obo/HP_0012539,3.5,Non-Hodgkin lymphoma,Non-Hodgkin lymphoma,0.875
http://www.orpha.net/ORDO/Orphanet_543,http://purl.obolibrary.org/obo/HP_0030080,3.5,Burkitt lymphoma,Burkitt lymphoma,0.875
http://www.orpha.net/ORDO/Orphanet_418,http://purl.obolibrary.org/obo/HP_0008258,3.5,Congenital adrenal hyperplasia,Congenital adrenal hyperplasia,0.875
http://www.orpha.net/ORDO/Orphanet_1501,http://purl.obolibrary.org/obo/HP_0006744,3.5,Adrenocortical carcinoma,Adrenocortical carcinoma,0.875
http://www.orpha.net/ORDO/Orphanet_98723,http://purl.obolibrary.org/obo/HP_0010954,3.5,Hypoplastic right heart syndrome,Hypoplastic right heart,0.875
http://www.orpha.net/ORDO/Orphanet_437,http://purl.obolibrary.org/obo/HP_0004912,3.5,Hypophosphatemic rickets,Hypophosphatemic rickets,0.875
http://www.orpha.net/ORDO/Orphanet_442,http://purl.obolibrary.org/obo/HP_0000851,3.5,Congenital hypothyroidism,Congenital hypothyroidism,0.875
http://www.orpha.net/ORDO/Orphanet_488,http://purl.obolibrary.org/obo/HP_0012618,3.5,Urachal cyst,Urachal cyst,0.875
http://www.orpha.net/ORDO/Orphanet_181412,http://purl.obolibrary.org/obo/HP_0000840,3.5,Adrenogenital syndrome,Adrenogenital syndrome,0.875
http://www.orpha.net/ORDO/Orphanet_1332,http://purl.obolibrary.org/obo/HP_0002865,3.5,Medullary thyroid carcinoma,Medullary thyroid carcinoma,0.875
http://www.orpha.net/ORDO/Orphanet_35688,http://purl.obolibrary.org/obo/HP_0003067,3.5,Madelung deformity,Madelung deformity,0.875
http://www.orpha.net/ORDO/Orphanet_95708,http://purl.obolibrary.org/obo/HP_0000826,3.5,Precocious puberty,Precocious puberty,0.875
http://www.orpha.net/ORDO/Orphanet_178382,http://purl.obolibrary.org/obo/HP_0001838,3.5,Congenital vertical talus,Rocker bottom foot,0.875
http://www.orpha.net/ORDO/Orphanet_93277,http://purl.obolibrary.org/obo/HP_0010736,3.5,Monostotic fibrous dysplasia,Monostotic fibrous dysplasia,0.875
http://www.orpha.net/ORDO/Orphanet_93276,http://purl.obolibrary.org/obo/HP_0010735,3.5,Polyostotic fibrous dysplasia,Polyostotic fibrous dysplasia,0.875
http://www.orpha.net/ORDO/Orphanet_801,http://purl.obolibrary.org/obo/HP_0100324,3.5,Scleroderma,Scleroderma,0.875
