sourceIRI,mappedIRI,score,sourceLabel,mappedLabel,NormalizedScore
http://www.orpha.net/ORDO/Orphanet_98613,http://purl.obolibrary.org/obo/MP_0006193,3.0,Conjunctival telangiectasia,conjunctival telangiectasia,0.75
http://www.orpha.net/ORDO/Orphanet_156207,http://purl.obolibrary.org/obo/MP_0009906,3.0,Macroglossia,increased tongue size,0.75
http://www.orpha.net/ORDO/Orphanet_79364,http://purl.obolibrary.org/obo/MP_0000414,3.0,Alopecia,alopecia,0.75
http://www.orpha.net/ORDO/Orphanet_98575,http://purl.obolibrary.org/obo/MP_0030166,3.0,Telecanthus,increased inner canthal distance,0.75
http://www.orpha.net/ORDO/Orphanet_91495,http://purl.obolibrary.org/obo/MP_0010711,3.0,Persistent hyperplastic primary vitreous,persistent hyperplastic primary vitreous,0.75
http://www.orpha.net/ORDO/Orphanet_90025,http://purl.obolibrary.org/obo/MP_0000564,3.0,Syndactyly,syndactyly,0.75
http://www.orpha.net/ORDO/Orphanet_79389,http://purl.obolibrary.org/obo/MP_0003786,3.0,Premature aging,premature aging,0.75
http://www.orpha.net/ORDO/Orphanet_209,http://purl.obolibrary.org/obo/MP_0005421,3.0,Cutis laxa,loose skin,0.75
http://www.orpha.net/ORDO/Orphanet_69,http://purl.obolibrary.org/obo/MP_0000604,3.0,Amyloidosis,amyloidosis,0.75
http://www.orpha.net/ORDO/Orphanet_2130,http://purl.obolibrary.org/obo/MP_0008985,3.0,Hemimelia,hemimelia,0.75
http://www.orpha.net/ORDO/Orphanet_93338,http://purl.obolibrary.org/obo/MP_0004083,3.0,Polysyndactyly,polysyndactyly,0.75
http://www.orpha.net/ORDO/Orphanet_2781,http://purl.obolibrary.org/obo/MP_0000067,3.0,Osteopetrosis,osteopetrosis,0.75
http://www.orpha.net/ORDO/Orphanet_411709,http://purl.obolibrary.org/obo/MP_0000520,3.0,Renal agenesis,absent kidney,0.75
http://www.orpha.net/ORDO/Orphanet_2882,http://purl.obolibrary.org/obo/MP_0010077,3.0,Sitosterolemia,increased phytosterol level,0.75
http://www.orpha.net/ORDO/Orphanet_521,http://purl.obolibrary.org/obo/MP_0005481,3.0,Chronic myeloid leukemia,increased chronic myelocytic leukemia incidence,0.75
http://www.orpha.net/ORDO/Orphanet_79225,http://purl.obolibrary.org/obo/MP_0009589,3.0,Sphingolipidosis,sphingomyelinosis,0.75
http://www.orpha.net/ORDO/Orphanet_214,http://purl.obolibrary.org/obo/MP_0020400,3.0,Cystinuria,cystinuria,0.75
http://www.orpha.net/ORDO/Orphanet_155878,http://purl.obolibrary.org/obo/MP_0011615,3.0,Submucosal cleft palate,submucous cleft palate,0.75
http://www.orpha.net/ORDO/Orphanet_101023,http://purl.obolibrary.org/obo/MP_0013545,3.0,Cleft hard palate,cleft hard palate,0.75
http://www.orpha.net/ORDO/Orphanet_98282,http://purl.obolibrary.org/obo/MP_0009440,3.0,Plasma cell tumor,increased myeloma incidence,0.75
