p1,p2,cat,label_x,label_y,o1,o2
http://purl.obolibrary.org/obo/HP_0000347,http://purl.obolibrary.org/obo/MP_0002639,lexical,Micrognathia (HPO),micrognathia (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0002639,http://purl.obolibrary.org/obo/HP_0000347,lexical,micrognathia (MPO),Micrognathia (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0000347,http://purl.obolibrary.org/obo/MP_0004592,lexical,Micrognathia (HPO),small mandible (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0004592,http://purl.obolibrary.org/obo/HP_0000347,lexical,small mandible (MPO),Micrognathia (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0004540,http://purl.obolibrary.org/obo/HP_0000327,lexical,small maxilla (MPO),Hypoplasia of the maxilla (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0000327,http://purl.obolibrary.org/obo/MP_0004540,lexical,Hypoplasia of the maxilla (HPO),small maxilla (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0005736,http://purl.obolibrary.org/obo/MP_0002764,lexical,Short tibia (HPO),short tibia (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0002764,http://purl.obolibrary.org/obo/HP_0005736,lexical,short tibia (MPO),Short tibia (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0009247,http://purl.obolibrary.org/obo/HP_0003270,lexical,meteorism (MPO),Abdominal distention (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0003270,http://purl.obolibrary.org/obo/MP_0009247,lexical,Abdominal distention (HPO),meteorism (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0011250,http://purl.obolibrary.org/obo/HP_0031565,lexical,abdominal situs ambiguus (MPO),Abdominal situs ambiguus (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0031565,http://purl.obolibrary.org/obo/MP_0011250,lexical,Abdominal situs ambiguus (HPO),abdominal situs ambiguus (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0002766,http://purl.obolibrary.org/obo/HP_0003363,lexical,situs inversus (MPO),Abdominal situs inversus (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0003363,http://purl.obolibrary.org/obo/MP_0002766,lexical,Abdominal situs inversus (HPO),situs inversus (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0007384,http://purl.obolibrary.org/obo/MP_0030915,lexical,Aberrant melanosome maturation (HPO),abnormal melanosome maturation (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0030915,http://purl.obolibrary.org/obo/HP_0007384,lexical,abnormal melanosome maturation (MPO),Aberrant melanosome maturation (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0001341,http://purl.obolibrary.org/obo/HP_0011224,lexical,absent eyelids (MPO),Ablepharon (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0011224,http://purl.obolibrary.org/obo/MP_0001341,lexical,Ablepharon (HPO),absent eyelids (MPO),HP,MP
http://purl.obolibrary.org/obo/XPO_0103150,http://purl.obolibrary.org/obo/HP_0002846,lexical,abnormal B cell morphology (XPO),Abnormal B cell morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/HP_0002846,http://purl.obolibrary.org/obo/XPO_0103150,lexical,Abnormal B cell morphology (HPO),abnormal B cell morphology (XPO),HP,XPO
