p1,p1l,p2,p2l
http://purl.obolibrary.org/obo/MP_0011461,abnormal urine bicarbonate level (MPO),http://purl.obolibrary.org/obo/HP_0011279,Abnormality of urine bicarbonate concentration (HPO)
http://purl.obolibrary.org/obo/ZP_0003906,"muscle pioneer increased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0009649,"muscle pioneer somite increased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0012091,Abnormality of pancreas physiology (HPO),http://purl.obolibrary.org/obo/MP_0002693,abnormal pancreas physiology (MPO)
http://purl.obolibrary.org/obo/XPO_0131732,abnormal sex differentiation (XPO),http://purl.obolibrary.org/obo/ZP_0102753,"sex differentiation process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/WBPhenotype_0002422,tunicamycin resistant (WBP),http://purl.obolibrary.org/obo/PHIPO_0000612,resistance to tunicamycin (PHIPO)
http://purl.obolibrary.org/obo/MP_0002074,abnormal hair texture (MPO),http://purl.obolibrary.org/obo/HP_0010719,Abnormality of hair texture (HPO)
http://purl.obolibrary.org/obo/ZP_0110016,"roof plate neural tube region quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0108081,"roof plate quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/FYPO_0006509,abnormal telomere length (FYPO),http://purl.obolibrary.org/obo/MP_0003155,abnormal telomere length (MPO)
http://purl.obolibrary.org/obo/HP_0000618,Blindness (HPO),http://purl.obolibrary.org/obo/ZP_0100294,"visual perception absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/FBcv_0000718,decreased cell growth (DPO),http://purl.obolibrary.org/obo/FYPO_0006821,slow vegetative cell growth (FYPO)
http://purl.obolibrary.org/obo/XPO_0131408,abnormal feeding behavior (XPO),http://purl.obolibrary.org/obo/WBPhenotype_0000659,feeding behavior variant (WBP)
http://purl.obolibrary.org/obo/HP_0002208,Coarse hair (HPO),http://purl.obolibrary.org/obo/MP_0002832,coarse hair (MPO)
http://purl.obolibrary.org/obo/MP_0030661,increased circulating arginine level (MPO),http://purl.obolibrary.org/obo/HP_0500153,Hyperargininemia (HPO)
http://purl.obolibrary.org/obo/MP_0020401,argininuria (MPO),http://purl.obolibrary.org/obo/HP_0003268,Argininuria (HPO)
http://purl.obolibrary.org/obo/ZP_0013860,"cardiac muscle cell heart amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0013001,"cardiac muscle cell myocardium amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0005621,abnormal cell physiology (MPO),http://purl.obolibrary.org/obo/HP_0011017,Abnormal cellular physiology (HPO)
http://purl.obolibrary.org/obo/ZP_0011008,"gastro-intestinal system smooth muscle contraction process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/HP_0030895,Abnormal gastrointestinal motility (HPO)
http://purl.obolibrary.org/obo/MP_0006325,impaired hearing (MPO),http://purl.obolibrary.org/obo/HP_0000365,Hearing impairment (HPO)
