hpo_id_phenotype,hpoID_Computable,Label,Synonyms,Description
HP:0030319,HP_0030319,Weakness of facial musculature,Facial weakness|Weakness of face|Decreased strength of facial muscles|Myasthenia of facial muscles|Decreased facial muscle strength|Face weakness|Facial muscle weakness|Reduced facial muscle strength|Weakness of facial musculature,Reduced strength of one or more muscles innervated by the facial nerve (the seventh cranial nerve).
HP:0040106,HP_0040106,Morphological abnormality of the lateral semicircular canal,Morphological abnormality of the horizontal semicircular canal, 
HP:0040064,HP_0040064,Abnormality of limbs,Abnormality of limbs|Abnormal limbs|Limb anomaly, 
HP:0001252,HP_0001252,Muscular hypotonia,Muscle hypotonia|Low or weak muscle tone,"Muscular hypotonia is an abnormally low muscle tone (the amount of tension or resistance to movement in a muscle), often involving reduced muscle strength. Hypotonia is characterized by a diminished resistance to passive stretching. Muscular hypotonia may be related to defects in skeletal muscle, neuromuscular junction, or peripheral nerve."
HP:0001999,HP_0001999,Abnormal facial shape,Unusual facies|Distinctive facies|Unusual facial appearance|Abnormal facial shape|Dysmorphic facial features|Dysmorphic facies|Facial dysmorphism|Abnormal morphology of the face,An abnormal morphology (form) of the face or its components.
HP:0000118,HP_0000118,Phenotypic abnormality,Organ abnormality,A phenotypic abnormality.
HP:0000174,HP_0000174,Abnormal palate morphology,Abnormality of the palate|Palatal anomaly|Palate abnormality|Abnormality of the roof of the mouth,"Any abnormality of the palate, i.e., of roof of the mouth."
HP:0000508,HP_0000508,Ptosis,Blepharoptosis|Drooping upper eyelid|Eyelid ptosis,"The upper eyelid margin is positioned 3 mm or more lower than usual and covers the superior portion of the iris (objective); or, the upper lid margin obscures at least part of the pupil (subjective)."
HP:0000708,HP_0000708,Behavioral abnormality,Behavioral changes|Behavioral disturbances|Behavioural abnormality|Behavioral problems|Behavioral abnormality|Behavioral/psychiatric abnormalities|Behavioural/Psychiatric abnormality|Psychiatric disturbances|Behavioral disorders|Psychiatric disorders,"An abnormality of mental functioning including various affective, behavioural, cognitive and perceptual abnormalities."
HP:0025031,HP_0025031,Abnormality of the digestive system, , 
HP:0000077,HP_0000077,Abnormality of the kidney,Abnormality of the kidney|Renal anomaly|Abnormal kidney|Renal anomalies,An abnormality of the kidney.
HP:0410263,HP_0410263,Brain imaging abnormality,Abnormal brain imaging,An anomaly of metabolism or structure of the brain identified by imaging.
HP:0000324,HP_0000324,Facial asymmetry,Facial asymmetry|Crooked face|Asymmetry of face|Asymmetry of right and left side of face|Unsymmetrical face|Asymmetric facies,An abnormal difference between the left and right sides of the face.
HP:0002650,HP_0002650,Scoliosis, ,The presence of an abnormal lateral curvature of the spine.
HP:0001626,HP_0001626,Abnormality of the cardiovascular system,Cardiovascular abnormality|Abnormality of the cardiovascular system,Any abnormality of the cardiovascular system.
HP:0000364,HP_0000364,Hearing abnormality,Hearing abnormality|Abnormal hearing,An abnormality of the sensory perception of sound.
HP:0410262,HP_0410262,Lower cranial nerve dysfunction,Abnormal lower cranial nerve function,"A functional abnormality affecting the lower cranial nerves, which include the paired 9th (glossopharyngeal), 10th (vagal), 11th (accessory) and 12th (hypoglossal) cranial nerves."
HP:0007628,HP_0007628,Mandibular condyle hypoplasia,Decreased size of condylar process of mandible|Small mandibular condyle|Hypoplasia of subcondylar region of mandible|Hypoplasia of condylar process of mandible|Decreased size of mandibular condyle|Hypoplasia of mandibular condyle, 
HP:0008551,HP_0008551,Microtia,Hypoplasia of the external ear|Hypoplastic pinna|Bilateral microtia|Small ears|Hypoplastic ears|Small pinnae|Underdeveloped ears,Underdevelopment of the external ear.
HP:0000384,HP_0000384,Preauricular skin tag,Periauricular skin tag|Preauricular tag|Preauricular tags|Preauricular skin tags|Ear tag|Preauricular fibroepithelial polyp|Preauricular acrochordon,A rudimentary tag of skin often containing ear tissue including a core of cartilage and located just anterior to the auricle (outer part of the ear).
HP:0001140,HP_0001140,Limbal dermoid,Epibulbar dermoids|Epibulbar dermoid,A benign tumor typically found at the junction of the cornea and sclera (limbal epibullar dermoid).
HP:0012831,HP_0012831,Laterality, ,The localization with respect to the side of the body of the specified phenotypic abnormality.
HP:0012824,HP_0012824,Severity,Intensity,The intensity or degree of a manifestation.
HP:0000107,HP_0000107,Renal cyst,Kidney cyst,A fluid filled sac in the kidney.
HP:0003006,HP_0003006,Neuroblastoma,Cancer of early nerve cells,"Neuroblastoma is a solid tumor that originate in neural crest cells of the sympathetic nervous system. Most neuroblastomas originate in the abdomen, and most abdominal neuroblastomas originate in the adrenal gland. Neuroblastomas can also originate in the thorax, usually in the posterior mediastinum."
HP:0001363,HP_0001363,Craniosynostosis,Cranial suture synostosis|Craniosyostosis|Early fusion of cranial sutures|Premature suture closure|Premature fontanel closure|Premature closure of cranial sutures,"Craniosynostosis refers to the premature closure of the cranial sutures. Primary craniosynostosis refers to the closure of one or more sutures due to abnormalities in skull development, and secondary craniosynostosis results from failure of brain growth."
HP:0009733,HP_0009733,Glioma, ,"The presence of a glioma, which is a neoplasm of the central nervous system originating from a glial cell (astrocytes or oligodendrocytes)."
HP:0005603,HP_0005603,Numerous congenital melanocytic nevi, , 
HP:0030741,HP_0030741,Mediastinal teratoma,Teratoma of the mediastinum,A teratoma located within the mediastinum (the cavity between the pleural sacs that contains the heart and all of the thoracic viscera except the lungs).
HP:0030867,HP_0030867,Vertical orbital dystopia,Misaligned eyes|Unequal eye height|Eyes at different heights,"The orbits do not lie on the same horizontal plane, that is, one eye is lower than the other."
HP:0001402,HP_0001402,Hepatocellular carcinoma, ,A kind of neoplasm of the liver that originates in hepatocytes and presents macroscopically as a soft and hemorrhagic tan mass in the liver.
HP:0000768,HP_0000768,Pectus carinatum,Pigeon chest,A deformity of the chest caused by overgrowth of the ribs and characterized by protrusion of the sternum.
HP:0001762,HP_0001762,Talipes equinovarus,"Equinovarus|Foot, talipes equinovarus|Club feet|Club foot|Pes equinus|Talipes varus|Clubbing of feet|Clubfeet|Clubfoot|Pes equinovarus",Talipes equinovarus (also called clubfoot) typically has four main components: inversion and adduction of the forefoot; inversion of the heel and hindfoot; equinus (limitation of extension) of the ankle and subtalar joint; and internal rotation of the leg.
HP:0004969,HP_0004969,Peripheral pulmonary artery stenosis,Peripheral pulmonic stenosis|Narrowing of peripheral lung artery|peripheral pulmonary stenosis,Stenosis of a peripheral branch of the pulmonary artery.
HP:0000070,HP_0000070,Ureterocele, ,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.
HP:0000193,HP_0000193,Bifid uvula,Split uvula|Cleft uvula|Bifid palatine uvula|Cleft of uvula|Forked uvula|Uvula bifida,Uvula separated into two parts most easily seen at the tip.
HP:0010492,HP_0010492,Osseous finger syndactyly,Osseous syndactyly of the fingers,"Webbing or fusion of the fingers, involving soft parts and including fusion of individual finger bones. Bony fusions are referred to as ""bony"" Syndactyly if the fusion occurs in a radio-ulnar axis. Fusions of bones of the fingers in a proximo-distal axis are referred to as ""Symphalangism""."
HP:0012646,HP_0012646,Retractile testis,Retractile testicle,A testis that is located at the upper scrotum or lower inguinal canal and that can be made to descend completely into the scrotum without resistance by manual reduction but returns to its original position by the cremasteric reflex.
HP:0010296,HP_0010296,Ankyloglossia,Tongue tied,"Short or anteriorly attached lingual frenulum, associated with limited mobility of the tongue."
HP:0004397,HP_0004397,Ectopic anus,Abnormal anus position|Anus malposition,Abnormal displacement or malposition of the anus.
HP:0000568,HP_0000568,Microphthalmia,Microphthalmos|Abnormally small globe of eye|Abnormally small eyeball,A developmental anomaly characterized by abnormal smallness of one or both eyes.
HP:0011847,HP_0011847,Giant cell tumor of bone,Giant cell tumour of bone,A bone tumor composed of cellular spindle-cell stroma containing scattered multinucleated giant cells resembling osteoclasts.
HP:0000028,HP_0000028,Cryptorchidism,Undescended testes|Cryptorchism|Undescended testis,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum."
